Adverse Event,Category,Trial Id,URL,Condition,Intervention,Total -affected,Total -at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
allergic_reaction,Immune_system_disorders,NCT00001962,https://clinicaltrials.gov/show/NCT00001962,Aplastic_Anemia|Pure_Red_Cell_Aplasia|Diamond_Blackfan_Anemia|,Daclizumab,7,100,other_events,arm0,Daclizumab Hematologic Response,7,100
Allergic_reaction,Immune_system_disorders,NCT00003389,https://clinicaltrials.gov/show/NCT00003389,Lymphoma,Doxorubicin|Bleomycin|Vinblastine|Dacarbazine|Vincristine|Mechlorethamine|Etoposide|Prednisone|Cyclophosphamide|Radiotherapy|,3,422,serious_events,arm1,Arm B (Stanford V),3,422
Allergic_reaction,Immune_system_disorders,NCT00003896,https://clinicaltrials.gov/show/NCT00003896,Fallopian_Tube_Cancer|Ovarian_Cancer|Peritoneal_Cavity_Cancer|,cisplatin|liposomal_doxorubicin|paclitaxel|,5,61,other_events,arm0,Paclitaxel/CDDP/Liposomal Doxorubicin,5,61
Allergic_reaction,Immune_system_disorders,NCT00004859,https://clinicaltrials.gov/show/NCT00004859,Lung_Cancer,carboplatin|paclitaxel|thalidomide|radiation_therapy|,29,577,serious_events,arm1,Arm B (Paclitaxel + Carboplatin + Radiation + Thalidomide),13,288
Allergic_reaction,Immune_system_disorders,NCT00004859,https://clinicaltrials.gov/show/NCT00004859,Lung_Cancer,carboplatin|paclitaxel|thalidomide|radiation_therapy|,29,577,serious_events,arm0,Arm A (Paclitaxel + Carboplatin + Radiation ),16,289
Allergic_Reaction,General_disorders,NCT00004888,https://clinicaltrials.gov/show/NCT00004888,Recurrent_Breast_Cancer|Stage_IV_Breast_Cancer|,pegylated_liposomal_doxorubicin_hydrochloride|docetaxel|trastuzumab|laboratory_biomarker_analysis|,11,89,other_events,arm1,Arm II: Doxorubicin Taxotere and Herceptin,8,48
Allergic_Reaction,General_disorders,NCT00004888,https://clinicaltrials.gov/show/NCT00004888,Recurrent_Breast_Cancer|Stage_IV_Breast_Cancer|,pegylated_liposomal_doxorubicin_hydrochloride|docetaxel|trastuzumab|laboratory_biomarker_analysis|,11,89,other_events,arm0,Arm I: Doxorubicin and Taxotere,3,41
Allergic_reaction,Immune_system_disorders,NCT00006721,https://clinicaltrials.gov/show/NCT00006721,Lymphoma,rituximab|cyclophosphamide|doxorubicin_hydrochloride|prednisone|vincristine_sulfate|tositumomab_and_iodine_I_131_tositumomab|,50,276,other_events,arm1,CHOP + Rituximab,49,263
Allergic_reaction,Immune_system_disorders,NCT00006721,https://clinicaltrials.gov/show/NCT00006721,Lymphoma,rituximab|cyclophosphamide|doxorubicin_hydrochloride|prednisone|vincristine_sulfate|tositumomab_and_iodine_I_131_tositumomab|,50,276,other_events,arm0,CHOP Only,1,13
Allergic_reaction,Immune_system_disorders,NCT00008138,https://clinicaltrials.gov/show/NCT00008138,Fallopian_Tube_Cancer|Ovarian_Cancer|Peritoneal_Cavity_Cancer|,carboplatin|paclitaxel|debulking_surgery|,4,58,other_events,arm0,Neoadjuvant Paclitaxel (IV) + Carboplatin (V),4,58
Allergic_Reaction,Immune_system_disorders,NCT00010257,https://clinicaltrials.gov/show/NCT00010257,Thymoma|Thymic_Carcinoma|,carboplatin|paclitaxel|,2,42,serious_events,arm1,Thymic Carcinoma,1,21
Allergic_Reaction,Immune_system_disorders,NCT00010257,https://clinicaltrials.gov/show/NCT00010257,Thymoma|Thymic_Carcinoma|,carboplatin|paclitaxel|,2,42,other_events,arm1,Thymic Carcinoma,1,21
Allergic_Reaction,Immune_system_disorders,NCT00022659,https://clinicaltrials.gov/show/NCT00022659,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|Stage_IV_Ovarian_Epithelial_Cancer|,bevacizumab|laboratory_biomarker_analysis|,3,124,other_events,arm0,Bevacizumab,2,62
Allergic_Reaction,Immune_system_disorders,NCT00022659,https://clinicaltrials.gov/show/NCT00022659,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|Stage_IV_Ovarian_Epithelial_Cancer|,bevacizumab|laboratory_biomarker_analysis|,3,124,serious_events,arm0,Bevacizumab,1,62
Allergic_Reaction,Immune_system_disorders,NCT00025155,https://clinicaltrials.gov/show/NCT00025155,Primary_Peritoneal_Cavity_Cancer|Recurrent_Ovarian_Epithelial_Cancer|,ixabepilone,3,49,other_events,arm0,Treatment (Ixabepilone),3,49
Allergic_Reaction,Immune_system_disorders,NCT00025233,https://clinicaltrials.gov/show/NCT00025233,Cervical_Squamous_Cell_Carcinoma|Recurrent_Cervical_Cancer|,bevacizumab|laboratory_biomarker_analysis|,1,46,other_events,arm0,Bevacizumab,1,46
Allergic_reaction,General_disorders,NCT00038948,https://clinicaltrials.gov/show/NCT00038948,Renal_Transplantation,Sirolimus|tacrolimus|Cyclosporine_A|,1,551,serious_events,arm0,SRL Conversion in Stable Renal Transplant Recipients,1,551
Allergic_reaction,Immune_system_disorders,NCT00040937,https://clinicaltrials.gov/show/NCT00040937,Multiple_Myeloma,filgrastim|sargramostim|cyclophosphamide|dexamethasone|melphalan|prednisone|thalidomide|peripheral_blood_stem_cell_transplantation|,6,105,other_events,arm1,Autologous PBSCT,6,105
Allergic_reaction,Immune_system_disorders,NCT00041132,https://clinicaltrials.gov/show/NCT00041132,Lymphoma,filgrastim|rituximab|cyclophosphamide|cytarabine|dexamethasone|doxorubicin|leucovorin|methotrexate|vincristine|,5,49,other_events,arm0,Hyper-CVAD + MTX/Ara-C + Rituximab,5,49
Allergic_Reaction,Immune_system_disorders,NCT00042939,https://clinicaltrials.gov/show/NCT00042939,Pancreatic_Cancer,cetuximab|docetaxel|irinotecan_hydrochloride|,1,46,serious_events,arm0,Arm A: Irinotecan/Docetaxel,1,46
Allergic_reaction,Immune_system_disorders,NCT00045630,https://clinicaltrials.gov/show/NCT00045630,Bladder_Cancer|Transitional_Cell_Cancer_of_the_Renal_Pelvis_and_Ureter|Urethral_Cancer|,carboplatin|gemcitabine|paclitaxel|surgery|,6,74,other_events,arm0,Gemcitabine Paclitaxel Carboplatin Followed by Surgery,6,74
