Adverse Event,Category,Trial Id,URL,Conditon,Intervention,Total-affected,Total-at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
Allergy,Immune_system_disorders,NCT00003869,https://clinicaltrials.gov/show/NCT00003869,Stage_IIIA_Non-small_Cell_Lung_Cancer|Stage_IIIB_Non-small_Cell_Lung_Cancer|Stage_IV_Non-small_Cell_Lung_Cancer|,carboxyamidotriazole|placebo|quality-of-life_assessment|laboratory_biomarker_analysis|,1,90,serious_events,arm0,Carboxyamidotriazole,1,90
Allergy,Immune_system_disorders,NCT00006011,https://clinicaltrials.gov/show/NCT00006011,Endometrial_Adenocarcinoma|Endometrial_Adenosquamous_Carcinoma|Endometrial_Clear_Cell_Adenocarcinoma|Endometrial_Endometrioid_Adenocarcinoma_Variant_With_Squamous_Differentiation|Endometrial_Serous_Adenocarcinoma|Stage_III_Uterine_Corpus_Cancer|,Doxorubicin_Hydrochloride|Cisplatin|Filgrastim|Pegfilgrastim|Paclitaxel|,12,539,other_events,arm0,Arm 1,4,261
Allergy,Immune_system_disorders,NCT00006011,https://clinicaltrials.gov/show/NCT00006011,Endometrial_Adenocarcinoma|Endometrial_Adenosquamous_Carcinoma|Endometrial_Clear_Cell_Adenocarcinoma|Endometrial_Endometrioid_Adenocarcinoma_Variant_With_Squamous_Differentiation|Endometrial_Serous_Adenocarcinoma|Stage_III_Uterine_Corpus_Cancer|,Doxorubicin_Hydrochloride|Cisplatin|Filgrastim|Pegfilgrastim|Paclitaxel|,12,539,other_events,arm1,Arm 2,8,278
ALLERGY,Immune_system_disorders,NCT00094302,https://clinicaltrials.gov/show/NCT00094302,Cardiovascular_Diseases|Heart_Diseases|Heart_Failure_Congestive|,Spironolactone|Placebo|,23,5168,other_events,arm1,Spironolactone,11,1722
ALLERGY,Immune_system_disorders,NCT00094302,https://clinicaltrials.gov/show/NCT00094302,Cardiovascular_Diseases|Heart_Diseases|Heart_Failure_Congestive|,Spironolactone|Placebo|,23,5168,serious_events,arm0,Placebo,1,1723
ALLERGY,Immune_system_disorders,NCT00094302,https://clinicaltrials.gov/show/NCT00094302,Cardiovascular_Diseases|Heart_Diseases|Heart_Failure_Congestive|,Spironolactone|Placebo|,23,5168,other_events,arm0,Placebo,11,1723
Allergy,Immune_system_disorders,NCT00112489,https://clinicaltrials.gov/show/NCT00112489,Sarcoma,carboplatin|paclitaxel|,3,46,other_events,arm0,Paclitaxel Followed by Carboplatin,3,46
Allergy,General_disorders,NCT00195338,https://clinicaltrials.gov/show/NCT00195338,Rheumatoid_Arthritis,etanercept,1,25,other_events,arm0,Etanercept,1,25
Allergy,Immune_system_disorders,NCT00269113,https://clinicaltrials.gov/show/NCT00269113,Non-Hodgkin's_Lymphoma,rituximab_[MabThera/Rituxan]|Standard_chemotherapy|,1,183,serious_events,arm1,Rituximab + MCP,1,183
Allergy,Immune_system_disorders,NCT00331006,https://clinicaltrials.gov/show/NCT00331006,Hemophilia_A,Rituximab,1,16,other_events,arm0,Rituximab,1,16
Allergy,Immune_system_disorders,NCT00388154,https://clinicaltrials.gov/show/NCT00388154,Endometrial_Cancer,Gemcitabine|Cisplatin|,1,20,other_events,arm0,Gemcitabine + Cisplatin,1,20
Allergy,Immune_system_disorders,NCT00448279,https://clinicaltrials.gov/show/NCT00448279,Breast_Cancer,trastuzumab|Chemotherapy|,1,28,other_events,arm1,Chemotherapy + Trastuzumab,1,28
Allergy,Immune_system_disorders,NCT00502905,https://clinicaltrials.gov/show/NCT00502905,Leukemia,Busulfan|Fludarabine|,1,196,other_events,arm0,Busulfan + Fludarabine,1,196
allergy,Respiratory_thoracic_and_mediastinal_disorders,NCT00520845,https://clinicaltrials.gov/show/NCT00520845,Lung_Cancer,celecoxib|Docetaxel|pemetrexed_disodium|laboratory_biomarker_analysis|,1,23,serious_events,arm0,Treatment Arm,1,23
Allergy,Immune_system_disorders,NCT00548418,https://clinicaltrials.gov/show/NCT00548418,Cervical_Cancer,Topotecan|Cisplatin|Bevacizumab|,3,27,other_events,arm0,Treatment (Cisplatin Topotecan Bevacizumab),3,27
