Adverse Event,Category,Trial Id,URL,Condition,Intervention,Total-affected,Total-at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
Anaphylaxis,Immune_system_disorders,NCT00003298,https://clinicaltrials.gov/show/NCT00003298,Gastric_Cancer,cisplatin|fluorouracil|leucovorin_calcium|paclitaxel|surgery|radiation_therapy|,1,38,serious_events,arm0,Step 1(Neoadjuvant Therapy),1,38
Anaphylaxis,Immune_system_disorders,NCT00003782,https://clinicaltrials.gov/show/NCT00003782,Breast_Cancer,cyclophosphamide|docetaxel|doxorubicin|,4,3496,serious_events,arm1,Doxorubicin + Docetaxel,3,1748
Anaphylaxis,Immune_system_disorders,NCT00003782,https://clinicaltrials.gov/show/NCT00003782,Breast_Cancer,cyclophosphamide|docetaxel|doxorubicin|,4,3496,serious_events,arm0,Doxorubicin + Cyclophosphamide Then Docetaxel,1,1748
Anaphylaxis,Immune_system_disorders,NCT00047320,https://clinicaltrials.gov/show/NCT00047320,Brain_Tumor|Central_Nervous_System_Tumors|Childhood_Germ_Cell_Tumor|,carboplatin|etoposide|ifosfamide|thiotepa|adjuvant_therapy|conventional_surgery|neoadjuvant_therapy|peripheral_blood_stem_cell_transplantation|radiation_therapy|,1,101,other_events,arm0,Radiation Therapy (CR From Induction),1,101
Anaphylaxis,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_III_Childhood_Large_Cell_Lymphoma|Stage_III_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_IV_Childhood_Large_Cell_Lymphoma|Stage_IV_Childhood_Small_Noncleaved_Cell_Lymphoma|Untreated_Childhood_Acute_Lymphoblastic_Leukemia|,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,3,130,other_events,arm0,Group B (Chemotherapy Protective Therapy Monoclonal Antib.),1,46
Anaphylaxis,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_III_Childhood_Large_Cell_Lymphoma|Stage_III_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_IV_Childhood_Large_Cell_Lymphoma|Stage_IV_Childhood_Small_Noncleaved_Cell_Lymphoma|Untreated_Childhood_Acute_Lymphoblastic_Leukemia|,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,3,130,other_events,arm1,Group C (Chemotherapy Monoclonal Antibody Therapy),1,42
Anaphylaxis,Immune_system_disorders,NCT00057811,https://clinicaltrials.gov/show/NCT00057811,Childhood_Burkitt_Lymphoma|Childhood_Diffuse_Large_Cell_Lymphoma|Childhood_Immunoblastic_Large_Cell_Lymphoma|Stage_I_Childhood_Large_Cell_Lymphoma|Stage_I_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_II_Childhood_Large_Cell_Lymphoma|Stage_II_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_III_Childhood_Large_Cell_Lymphoma|Stage_III_Childhood_Small_Noncleaved_Cell_Lymphoma|Stage_IV_Childhood_Large_Cell_Lymphoma|Stage_IV_Childhood_Small_Noncleaved_Cell_Lymphoma|Untreated_Childhood_Acute_Lymphoblastic_Leukemia|,doxorubicin_hydrochloride|cyclophosphamide|methotrexate|rasburicase|leucovorin_calcium|prednisone|methylprednisolone|filgrastim|rituximab|cytarabine|etoposide|vincristine_sulfate|hydrocortisone_sodium_succinate|laboratory_biomarker_analysis|,3,130,serious_events,arm1,Group C (Chemotherapy Monoclonal Antibody Therapy),1,42
Anaphylaxis,Immune_system_disorders,NCT00075946,https://clinicaltrials.gov/show/NCT00075946,Lymphoma,rituximab,2,500,serious_events,arm0,Arm I: Induction Rituximab,2,500
Anaphylaxis,Immune_system_disorders,NCT00075725,https://clinicaltrials.gov/show/NCT00075725,Leukemia,cyclophosphamide|cytarabine|daunorubicin_hydrochloride|dexamethasone|doxorubicin_hydrochloride|leucovorin_calcium|mercaptopurine|methotrexate|pegaspargase|prednisone|thioguanine|vincristine_sulfate|radiation_therapy|,386,4633,other_events,arm2,Dexamethasone High Dose Methotrexate (IM) < 10 Years,29,203
Anaphylaxis,Immune_system_disorders,NCT00075725,https://clinicaltrials.gov/show/NCT00075725,Leukemia,cyclophosphamide|cytarabine|daunorubicin_hydrochloride|dexamethasone|doxorubicin_hydrochloride|leucovorin_calcium|mercaptopurine|methotrexate|pegaspargase|prednisone|thioguanine|vincristine_sulfate|radiation_therapy|,386,4633,serious_events,arm2,Dexamethasone High Dose Methotrexate (IM) < 10 Years,1,203
