Adverse Event,Category,Trial Id,URL,Condition,Intervention,Total affected,Total at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00036270,https://clinicaltrials.gov/show/NCT00036270,Breast_Neoplasms,exemestane_(Aromasin)|tamoxifen_+_exemestane|,1,4814,serious_events,arm0,Tamoxifen Followed by Exemestane,1,4814
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00038103,https://clinicaltrials.gov/show/NCT00038103,Breast_Neoplasms,Exemestane|Celecoxib_+_Exemestane|,2,109,serious_events,arm1,Combination (Exemestane + Celecoxib),1,56
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00038103,https://clinicaltrials.gov/show/NCT00038103,Breast_Neoplasms,Exemestane|Celecoxib_+_Exemestane|,2,109,other_events,arm1,Combination (Exemestane + Celecoxib),1,53
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00056407,https://clinicaltrials.gov/show/NCT00056407,Neoplasms_Prostate,Dutasteride|Placebo|,1,4105,serious_events,arm1,Dutasteride 0.5 mg,1,4105
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00071487,https://clinicaltrials.gov/show/NCT00071487,Lupus_Erythematosus_Systemic,Placebo|Belimumab_1_mg/kg|Belimumab_4_mg/kg|Belimumab_10_mg/kg|,1,114,serious_events,arm1,Belimumab 1 mg/kg Plus SOC,1,114
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00071799,https://clinicaltrials.gov/show/NCT00071799,Myelodysplastic_Syndromes,Azacitidine|Physician_Choice|,4,296,other_events,arm0,Azacitidine,1,175
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00071799,https://clinicaltrials.gov/show/NCT00071799,Myelodysplastic_Syndromes,Azacitidine|Physician_Choice|,4,296,other_events,arm1,Best Supportive Care Only,1,102
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00071799,https://clinicaltrials.gov/show/NCT00071799,Myelodysplastic_Syndromes,Azacitidine|Physician_Choice|,4,296,other_events,arm3,Standard Chemotherapy,2,19
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00075270,https://clinicaltrials.gov/show/NCT00075270,Neoplasms_Breast,Paclitaxel|GW572016_(Lapatinib)|,3,579,other_events,arm0,Lapatinib With Paclitaxel,2,293
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00075270,https://clinicaltrials.gov/show/NCT00075270,Neoplasms_Breast,Paclitaxel|GW572016_(Lapatinib)|,3,579,other_events,arm1,Placebo With Paclitaxel,1,286
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00075218,https://clinicaltrials.gov/show/NCT00075218,Gastrointestinal_Stromal_Tumor,Placebo|SU011248|,1,114,other_events,arm1,Placebo Double-Blind Treatment,1,114
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00076024,https://clinicaltrials.gov/show/NCT00076024,Breast_Neoplasms,Placebo|Docetaxel|AG-013736_(axitinib)|Docetaxel|,1,111,serious_events,arm1,Axitinib + Docetaxel (Phase 2 Double-blind),1,111
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00084266,https://clinicaltrials.gov/show/NCT00084266,Methicillin_Resistant_Staphylococcus_Aureus_(MRSA),linezolid_(Zyvox)|vancomycin|,2,587,other_events,arm1,Vancomycin,2,587
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00086580,https://clinicaltrials.gov/show/NCT00086580,B-Cell_Chronic_Lymphocytic_Leukemia,FluCAM_[Fludara_+_Campath]|fludarabine_phosphate|,18,493,other_events,arm0,Combination Arm (FluCAM),13,164
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00086580,https://clinicaltrials.gov/show/NCT00086580,B-Cell_Chronic_Lymphocytic_Leukemia,FluCAM_[Fludara_+_Campath]|fludarabine_phosphate|,18,493,serious_events,arm0,Combination Arm (FluCAM),1,164
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00086580,https://clinicaltrials.gov/show/NCT00086580,B-Cell_Chronic_Lymphocytic_Leukemia,FluCAM_[Fludara_+_Campath]|fludarabine_phosphate|,18,493,other_events,arm1,Fludarabine Alone,4,165
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00089791,https://clinicaltrials.gov/show/NCT00089791,Osteoporosis,placebo|Denosumab|,1,3886,serious_events,arm1,Denosumab 60 mg Q6M,1,3886
