Adverse Event,Category,Trial Id,URL,Condition,Intervention,Total-affected,Total-at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
Drug_hypersensitivity,Immune_system_disorders,NCT00001213,https://clinicaltrials.gov/show/NCT00001213,Cystinosis,Cysteamine,2,328,other_events,arm0,Cysteamine Topical Solution,2,328
Drug_hypersensitivity,Immune_system_disorders,NCT00027027,https://clinicaltrials.gov/show/NCT00027027,Neoplasms,rhuMAb_2C4,1,8,serious_events,arm4,rhuMAb 2C4: 15 mg/kg,1,8
Drug_hypersensitivity,Immune_system_disorders,NCT00040664,https://clinicaltrials.gov/show/NCT00040664,HIV_Infection,ritonavir|fosamprenavir|,3,69,serious_events,arm0,FPV/RTV,3,69
Drug_hypersensitivity,Immune_system_disorders,NCT00050011,https://clinicaltrials.gov/show/NCT00050011,Breast_Neoplasms|Osteoporosis|,Zoledronic_Acid|Letrozole|,1,300,serious_events,arm1,Zoledronic Acid Delayed-start,1,300
Drug_hypersensitivity,Immune_system_disorders,NCT00054717,https://clinicaltrials.gov/show/NCT00054717,HIV_Infections,Tipranavir|Ritonavir(r)|Comparator_Protease_Inhibitor_(CPI)|,1,309,serious_events,arm1,Comparitor Protease Inhibitor(CPR)/Low Dose Ritonavir(r),1,309
Drug_hypersensitivity,Immune_system_disorders,NCT00054847,https://clinicaltrials.gov/show/NCT00054847,Cardiovascular_Disease|Coronary_Artery_Disease|,saphenous_vein_graft|radial_artery_graft|,2,733,other_events,arm0,Arm 1,1,367
Drug_hypersensitivity,Immune_system_disorders,NCT00054847,https://clinicaltrials.gov/show/NCT00054847,Cardiovascular_Disease|Coronary_Artery_Disease|,saphenous_vein_graft|radial_artery_graft|,2,733,other_events,arm1,Arm 2,1,366
Drug_Hypersensitivity,Immune_system_disorders,NCT00056563,https://clinicaltrials.gov/show/NCT00056563,Parkinson's_Disease,Bilateral_Deep_Brain_Stimulation|best_medical_therapy|,1,121,serious_events,arm0,1: Bilateral Deep Brain Stimulation,1,121
Drug_hypersensitivity,Immune_system_disorders,NCT00057330,https://clinicaltrials.gov/show/NCT00057330,Herpes_Simplex_Infection,HSV_vaccine_or_SB208141_GSK_Biologicals'_glycoprotein_D_(gD)-Alum/3-deacylated_form_of_Monophosphoryl_Lipid_A_(MPL)_candidate_genital_herpes_vaccine|Havrix_ ¢_GlaxoSmithKline_(GSK)_Biologicals'_licensed_Hepatitis_A_vaccine|,3,8150,serious_events,arm0,Herpes Simplex Virus Group,2,4488
Drug_hypersensitivity,Immune_system_disorders,NCT00057330,https://clinicaltrials.gov/show/NCT00057330,Herpes_Simplex_Infection,HSV_vaccine_or_SB208141_GSK_Biologicals'_glycoprotein_D_(gD)-Alum/3-deacylated_form_of_Monophosphoryl_Lipid_A_(MPL)_candidate_genital_herpes_vaccine|Havrix_ ¢_GlaxoSmithKline_(GSK)_Biologicals'_licensed_Hepatitis_A_vaccine|,3,8150,serious_events,arm1,Havrix Group,1,3662
Drug_hypersensitivity,Immune_system_disorders,NCT00071799,https://clinicaltrials.gov/show/NCT00071799,Myelodysplastic_Syndromes,Azacitidine|Physician_Choice|,1,102,serious_events,arm1,Best Supportive Care Only,1,102
Drug_hypersensitivity,Immune_system_disorders,NCT00075270,https://clinicaltrials.gov/show/NCT00075270,Neoplasms_Breast,Paclitaxel|GW572016_(Lapatinib)|,4,579,other_events,arm0,Lapatinib With Paclitaxel,3,293
Drug_hypersensitivity,Immune_system_disorders,NCT00075270,https://clinicaltrials.gov/show/NCT00075270,Neoplasms_Breast,Paclitaxel|GW572016_(Lapatinib)|,4,579,other_events,arm1,Placebo With Paclitaxel,1,286
Drug_hypersensitivity,Immune_system_disorders,NCT00079781,https://clinicaltrials.gov/show/NCT00079781,Epilepsy,RNS‘Œ_System_implantation|RNS‘Œ_System_responsive_stimulation|,4,65,other_events,arm1,Sham Group,1,14
Drug_hypersensitivity,Immune_system_disorders,NCT00079781,https://clinicaltrials.gov/show/NCT00079781,Epilepsy,RNS‘Œ_System_implantation|RNS‘Œ_System_responsive_stimulation|,4,65,other_events,arm0,Treatment Population,3,51
Drug_hypersensitivity,Immune_system_disorders,NCT00079937,https://clinicaltrials.gov/show/NCT00079937,Asthma,Omalizumab|Placebo|Fluticasone|,1,421,serious_events,arm0,Omalizumab,1,421
Drug_Hypersensitivity,Immune_system_disorders,NCT00084084,https://clinicaltrials.gov/show/NCT00084084,Fabry_Disease,Agalsidase_alfa,2,28,other_events,arm1,Transition Safety Population,1,11
Drug_Hypersensitivity,Immune_system_disorders,NCT00084084,https://clinicaltrials.gov/show/NCT00084084,Fabry_Disease,Agalsidase_alfa,2,28,other_events,arm0,Safety Population RB,1,17
Drug_hypersensitivity,Immune_system_disorders,NCT00084136,https://clinicaltrials.gov/show/NCT00084136,HIV_Infections,Atazanavir|Didanosine_(enteric-coated)|Efavirenz|Emtricitabine|Emtricitabine/Tenofovir_disoproxil_fumarate|Lamivudine/Zidovudine|,3,1045,serious_events,arm0,ZDV/3TC+EFV,1,519
Drug_hypersensitivity,Immune_system_disorders,NCT00084136,https://clinicaltrials.gov/show/NCT00084136,HIV_Infections,Atazanavir|Didanosine_(enteric-coated)|Efavirenz|Emtricitabine|Emtricitabine/Tenofovir_disoproxil_fumarate|Lamivudine/Zidovudine|,3,1045,serious_events,arm1,ddI+FTC+ATV,2,526
Drug_hypersensitivity,Immune_system_disorders,NCT00084266,https://clinicaltrials.gov/show/NCT00084266,Methicillin_Resistant_Staphylococcus_Aureus_(MRSA),linezolid_(Zyvox)|vancomycin|,1,587,other_events,arm1,Vancomycin,1,587
Drug_hypersensitivity,Immune_system_disorders,NCT00085644,https://clinicaltrials.gov/show/NCT00085644,Ankylosing_Spondylitis,adalimumab_(D2E7)|placebo|,1,311,serious_events,arm0,Any Adalimumab,1,311
Drug_hypersensitivity,Immune_system_disorders,NCT00086580,https://clinicaltrials.gov/show/NCT00086580,B-Cell_Chronic_Lymphocytic_Leukemia,FluCAM_[Fludara_+_Campath]|fludarabine_phosphate|,1,164,other_events,arm0,Combination Arm (FluCAM),1,164
Drug_hypersensitivity,Immune_system_disorders,NCT00087490,https://clinicaltrials.gov/show/NCT00087490,Skin/Soft_Tissue_Infections|Methicillin_Resistant_Staphylococcus_Aureus_(MRSA)|,linezolid|vancomycin|,2,1052,other_events,arm0,Linezolid,1,537
Drug_hypersensitivity,Immune_system_disorders,NCT00087490,https://clinicaltrials.gov/show/NCT00087490,Skin/Soft_Tissue_Infections|Methicillin_Resistant_Staphylococcus_Aureus_(MRSA)|,linezolid|vancomycin|,2,1052,other_events,arm1,Vancomycin,1,515
Drug_hypersensitivity,Immune_system_disorders,NCT00087698,https://clinicaltrials.gov/show/NCT00087698,Pleural_Neoplasms,pemetrexed|cisplatin|,6,77,other_events,arm0,Pemetrexed,6,77
DRUG_HYPERSENSITIVITY,Immune_system_disorders,NCT00089479,https://clinicaltrials.gov/show/NCT00089479,Breast_Cancer,capecitabine_[Xeloda]|Taxotere|Taxotere|,1,1283,serious_events,arm1,AC Then XT,1,1283
Drug_hypersensitivity,Immune_system_disorders,NCT00089674,https://clinicaltrials.gov/show/NCT00089674,Prostate_Cancer,AMG_162|Placebo|,1,731,serious_events,arm1,Denosumab 60 mg Q6M,1,731
Drug_hypersensitivity,Immune_system_disorders,NCT00089583,https://clinicaltrials.gov/show/NCT00089583,Infection_Human_Immunodeficiency_Virus_I,LEXIVA_(GW433908)|Ritonavir|,9,109,serious_events,arm1,FPV/RTV Treatment Group,6,89
Drug_hypersensitivity,Immune_system_disorders,NCT00089583,https://clinicaltrials.gov/show/NCT00089583,Infection_Human_Immunodeficiency_Virus_I,LEXIVA_(GW433908)|Ritonavir|,9,109,serious_events,arm0,FPV Treatment Group,3,20
Drug_hypersensitivity,Immune_system_disorders,NCT00089791,https://clinicaltrials.gov/show/NCT00089791,Osteoporosis,placebo|Denosumab|,1,3886,serious_events,arm1,Denosumab 60 mg Q6M,1,3886
Drug_Hypersensitivity,Immune_system_disorders,NCT00090051,https://clinicaltrials.gov/show/NCT00090051,Chronic_Lymphocytic_Leukemia,Rituximab|Fludarabine_Phosphate|Cyclophosphamide|,1,274,serious_events,arm1,Fludarabine+Cyclophosphamide+Rituximab (FCR),1,274
DRUG_HYPERSENSITIVITY,Immune_system_disorders,NCT00090753,https://clinicaltrials.gov/show/NCT00090753,Anemia,Methoxy_Polyethylene_Glycol-Epoetin_Beta|Epoetin_alfa|Epoetin_beta|Darbepoetin_alfa|,1,748,serious_events,arm0,Methoxy Polyethylene Glycol-Epoetin Beta,1,748
Drug_Hypersensitivity,Immune_system_disorders,NCT00091819,https://clinicaltrials.gov/show/NCT00091819,Staphylococcal_Skin_Infection,Telavancin|Vancomycin|,2,855,serious_events,arm1,Vancomycin,1,429
Drug_Hypersensitivity,Immune_system_disorders,NCT00091819,https://clinicaltrials.gov/show/NCT00091819,Staphylococcal_Skin_Infection,Telavancin|Vancomycin|,2,855,serious_events,arm0,Telavancin,1,426
Drug_hypersensitivity,Immune_system_disorders,NCT00093145,https://clinicaltrials.gov/show/NCT00093145,Breast_Cancer,Albumin-bound_paclitaxel|Carboplatin|Herceptin‘Œ|,4,32,other_events,arm0,Albumin-bound Paclitaxel Carboplatin + Herceptin,4,32
Drug_hypersensitivity,Immune_system_disorders,NCT00093015,https://clinicaltrials.gov/show/NCT00093015,Kidney_Disease|Diabetes_Mellitus|Anemia|,Placebo|darbepoetin_alfa|,1,2019,serious_events,arm0,Placebo,1,2019
