Adverse Event,Category,Trial Id,URL,Condition,Intervention,Total-affected,Total-at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
Hypersensitivity,Immune_system_disorders,NCT00014911,https://clinicaltrials.gov/show/NCT00014911,Diabetes_Mellitus_Insulin-Dependent,Islet_Transplantation|Sirolimus|Tacrolimus|Daclizumab|Sulfamethoxazole|Ganciclovir|Trimethoprim|Pentamidine|,2,36,other_events,arm0,Islet Transplantation,2,36
Hypersensitivity,Immune_system_disorders,NCT00023452,https://clinicaltrials.gov/show/NCT00023452,Tuberculosis,RPT_+_INH_once_weekly_for_3_months_given_by_DOT|Isoniazid_(INH)_daily_for_9_months|,179,15598,other_events,arm1,3RPT/INH,153,4040
Hypersensitivity,Immune_system_disorders,NCT00023452,https://clinicaltrials.gov/show/NCT00023452,Tuberculosis,RPT_+_INH_once_weekly_for_3_months_given_by_DOT|Isoniazid_(INH)_daily_for_9_months|,179,15598,other_events,arm0,9INH,17,3759
Hypersensitivity,Immune_system_disorders,NCT00023452,https://clinicaltrials.gov/show/NCT00023452,Tuberculosis,RPT_+_INH_once_weekly_for_3_months_given_by_DOT|Isoniazid_(INH)_daily_for_9_months|,179,15598,serious_events,arm1,3RPT/INH,8,4040
Hypersensitivity,Immune_system_disorders,NCT00023452,https://clinicaltrials.gov/show/NCT00023452,Tuberculosis,RPT_+_INH_once_weekly_for_3_months_given_by_DOT|Isoniazid_(INH)_daily_for_9_months|,179,15598,serious_events,arm0,9INH,1,3759
HYPERSENSITIVITY,Immune_system_disorders,NCT00035932,https://clinicaltrials.gov/show/NCT00035932,HIV_Infections,Atazanavir_+_ritonavir_+_tenofovir_+_nucleoside|Atazanavir_+_saquinavir_+_tenofovir_+_nucleoside|Lopinavir/ritonavir_+_tenofovir_+_nucleoside|,10,457,serious_events,arm1,ATV400/SQV,1,110
HYPERSENSITIVITY,Immune_system_disorders,NCT00035932,https://clinicaltrials.gov/show/NCT00035932,HIV_Infections,Atazanavir_+_ritonavir_+_tenofovir_+_nucleoside|Atazanavir_+_saquinavir_+_tenofovir_+_nucleoside|Lopinavir/ritonavir_+_tenofovir_+_nucleoside|,10,457,other_events,arm2,LPV/RTV,2,118
HYPERSENSITIVITY,Immune_system_disorders,NCT00035932,https://clinicaltrials.gov/show/NCT00035932,HIV_Infections,Atazanavir_+_ritonavir_+_tenofovir_+_nucleoside|Atazanavir_+_saquinavir_+_tenofovir_+_nucleoside|Lopinavir/ritonavir_+_tenofovir_+_nucleoside|,10,457,other_events,arm1,ATV400/SQV,6,110
HYPERSENSITIVITY,Immune_system_disorders,NCT00035932,https://clinicaltrials.gov/show/NCT00035932,HIV_Infections,Atazanavir_+_ritonavir_+_tenofovir_+_nucleoside|Atazanavir_+_saquinavir_+_tenofovir_+_nucleoside|Lopinavir/ritonavir_+_tenofovir_+_nucleoside|,10,457,serious_events,arm0,ATV300/RTV,1,119
Hypersensitivity,Immune_system_disorders,NCT00036270,https://clinicaltrials.gov/show/NCT00036270,Breast_Neoplasms,exemestane_(Aromasin)|tamoxifen_+_exemestane|,5,9666,serious_events,arm1,Exemestane,4,4852
Hypersensitivity,Immune_system_disorders,NCT00036270,https://clinicaltrials.gov/show/NCT00036270,Breast_Neoplasms,exemestane_(Aromasin)|tamoxifen_+_exemestane|,5,9666,serious_events,arm0,Tamoxifen Followed by Exemestane,1,4814
Hypersensitivity,Immune_system_disorders,NCT00038103,https://clinicaltrials.gov/show/NCT00038103,Breast_Neoplasms,Exemestane|Celecoxib_+_Exemestane|,1,53,other_events,arm0,Exemestane (Exemestane Alone),1,53
Hypersensitivity,Immune_system_disorders,NCT00039130,https://clinicaltrials.gov/show/NCT00039130,Leukemia|Lymphoma|,filgrastim|rituximab|cyclophosphamide|cytarabine|dexamethasone|doxorubicin_hydrochloride|etoposide|ifosfamide|leucovorin_calcium|methotrexate|prednisone|vincristine_sulfate|Allopurinol|,7,210,other_events,arm0,Rituximab With High Intensity Chemotherapy,6,105
Hypersensitivity,Immune_system_disorders,NCT00039130,https://clinicaltrials.gov/show/NCT00039130,Leukemia|Lymphoma|,filgrastim|rituximab|cyclophosphamide|cytarabine|dexamethasone|doxorubicin_hydrochloride|etoposide|ifosfamide|leucovorin_calcium|methotrexate|prednisone|vincristine_sulfate|Allopurinol|,7,210,serious_events,arm0,Rituximab With High Intensity Chemotherapy,1,105
Hypersensitivity,Immune_system_disorders,NCT00038467,https://clinicaltrials.gov/show/NCT00038467,Breast_Neoplasms,Tamoxifen|Exemestane|,4,4658,serious_events,arm0,Exemestane,2,2320
Hypersensitivity,Immune_system_disorders,NCT00038467,https://clinicaltrials.gov/show/NCT00038467,Breast_Neoplasms,Tamoxifen|Exemestane|,4,4658,serious_events,arm1,Tamoxifen,2,2338
Hypersensitivity,Immune_system_disorders,NCT00043186,https://clinicaltrials.gov/show/NCT00043186,Low_Bone_Mineral_Density,Placebo|Denosumab|Alendronate|,8,235,other_events,arm4,Denosumab 14 mg Q6M,1,53
Hypersensitivity,Immune_system_disorders,NCT00043186,https://clinicaltrials.gov/show/NCT00043186,Low_Bone_Mineral_Density,Placebo|Denosumab|Alendronate|,8,235,other_events,arm1,Denosumab 6 mg Q3M,2,43
Hypersensitivity,Immune_system_disorders,NCT00043186,https://clinicaltrials.gov/show/NCT00043186,Low_Bone_Mineral_Density,Placebo|Denosumab|Alendronate|,8,235,other_events,arm8,Alendronate 70 mg,1,46
Hypersensitivity,Immune_system_disorders,NCT00043186,https://clinicaltrials.gov/show/NCT00043186,Low_Bone_Mineral_Density,Placebo|Denosumab|Alendronate|,8,235,other_events,arm0,Placebo,1,46
Hypersensitivity,Immune_system_disorders,NCT00043186,https://clinicaltrials.gov/show/NCT00043186,Low_Bone_Mineral_Density,Placebo|Denosumab|Alendronate|,8,235,other_events,arm5,Denosumab 60 mg Q6M,3,47
