two events,freq
[Nausea  Vomiting],1673
[Pyrexia  Pneumonia],1620
[Dehydration  Pneumonia],1593
[Sepsis  Pneumonia],1524
[Anaemia  Pneumonia],1511
[Vomiting  Dehydration],1509
[Dyspnoea  Pneumonia],1437
[Vomiting  Pneumonia],1430
[Cellulitis  Pneumonia],1351
[Gastroenteritis  Pneumonia],1287
[Nausea  Dehydration],1282
[Urinary_tract_infection  Pneumonia],1280
[Atrial_fibrillation  Pneumonia],1271
[Diarrhoea  Pneumonia],1268
[Syncope  Pneumonia],1242
[Abdominal_pain  Pneumonia],1217
[Pulmonary_embolism  Pneumonia],1195
[Pyrexia  Vomiting],1187
[Myocardial_infarction  Pneumonia],1152
[Pyrexia  Dehydration],1144
[Anaemia  Pyrexia],1135
[Nausea  Pneumonia],1122
[Chest_pain  Pneumonia],1117
[Renal_failure_acute  Pneumonia],1098
[Bronchitis  Pneumonia],1091
[Diarrhoea  Pyrexia],1087
[Abdominal_pain  Vomiting],1080
[Diarrhoea  Vomiting],1079
[Death  Pneumonia],1074
[Dyspnoea  Anaemia],1072
[Sepsis  Pyrexia],1051
[Abdominal_pain  Dehydration],1034
[Sepsis  Dehydration],1030
[Dyspnoea  Vomiting],1007
[Anaemia  Dehydration],1000
[Dyspnoea  Dehydration],998
[Anaemia  Sepsis],987
[Cerebrovascular_accident  Pneumonia],986
[Sepsis  Vomiting],984
[Diarrhoea  Dehydration],983
[Hypotension  Pneumonia],978
[Abdominal_pain  Pyrexia],972
[Anaemia  Vomiting],960
[Pleural_effusion  Pneumonia],959
[Deep_vein_thrombosis  Pneumonia],955
[Respiratory_failure  Pneumonia],947
[Diarrhoea  Dyspnoea],940
[Diarrhoea  Anaemia],934
[Nausea  Pyrexia],930
[Hypotension  Dehydration],925
[Hypertension  Pneumonia],923
[Dyspnoea  Sepsis],918
[Chronic_obstructive_pulmonary_disease  Pneumonia],910
[Abdominal_pain  Nausea],897
[Urinary_tract_infection  Dehydration],891
[Fatigue  Dehydration],890
[Urinary_tract_infection  Pyrexia],886
[Fatigue  Vomiting],884
[Death  Dehydration],882
[Back_pain  Pneumonia],880
[Renal_failure  Pneumonia],872
[Cellulitis  Pyrexia],871
[Pulmonary_embolism  Pyrexia],866
[Cellulitis  Anaemia],865
[Cardiac_failure_congestive  Pneumonia],862
[Hypotension  Vomiting],861
[Urinary_tract_infection  Sepsis],849
[Fatigue  Nausea],848
[Asthenia  Pneumonia],847
[Convulsion  Pneumonia],846
[Urinary_tract_infection  Abdominal_pain],845
[Abdominal_pain  Anaemia],843
[Dyspnoea  Abdominal_pain],842
[Syncope  Vomiting],839
[Diarrhoea  Abdominal_pain],836
[Abdominal_pain  Sepsis],833
[Syncope  Anaemia],832
[Angina_pectoris  Pneumonia],830
[Cellulitis  Sepsis],829
[Deep_vein_thrombosis  Pulmonary_embolism],828
[Cellulitis  Dehydration],826
[Myocardial_infarction  Atrial_fibrillation],824
[Thrombocytopenia  Pneumonia],823
[Pulmonary_embolism  Vomiting],822
[Pulmonary_embolism  Dyspnoea],820
[Diarrhoea  Nausea],819
[Nausea  Sepsis],818
[Renal_failure_acute  Anaemia],817
[Acute_myocardial_infarction  Pneumonia],812
[Gastroenteritis  Pyrexia],811
[Dyspnoea  Syncope],809
[Gastroenteritis  Dehydration],808
[Pulmonary_embolism  Dehydration],807
[Dyspnoea  Cellulitis],803
[Urinary_tract_infection  Vomiting],802
[Atrial_fibrillation  Dehydration],792
[Atrial_fibrillation  Dyspnoea],785
[Atrial_fibrillation  Anaemia],783
[Atrial_fibrillation  Syncope],782
[Anaemia  Nausea],781
[Syncope  Sepsis],779
[Pulmonary_embolism  Sepsis],776
[Renal_failure_acute  Pyrexia],773
[Pulmonary_embolism  Atrial_fibrillation],772
[Neutropenia  Pneumonia],771
[Syncope  Pyrexia],770
[Hypotension  Nausea],767
[Thrombocytopenia  Pyrexia],766
[Syncope  Nausea],764
[Hypotension  Sepsis],759
[Cardiac_failure  Pneumonia],758
[Renal_failure_acute  Sepsis],756
[Urinary_tract_infection  Cellulitis],751
[Urinary_tract_infection  Atrial_fibrillation],750
[Chest_pain  Atrial_fibrillation],748
[Hypertension  Dehydration],747
[Renal_failure_acute  Dyspnoea],744
[Pleural_effusion  Vomiting],740
[Cholecystitis  Pneumonia],739
[Pulmonary_embolism  Diarrhoea],733
[Diarrhoea  Urinary_tract_infection],732
[Asthenia  Pyrexia],731
[Cerebrovascular_accident  Atrial_fibrillation],730
[Atrial_fibrillation  Pyrexia],728
[Neutropenia  Pyrexia],726
[Gastroenteritis  Sepsis],725
[Chest_pain  Myocardial_infarction],723
[Depression  Pneumonia],722
[Febrile_neutropenia  Vomiting],721
[Chest_pain  Syncope],719
[Pulmonary_embolism  Urinary_tract_infection],717
[Osteoarthritis  Pneumonia],715
[Chest_pain  Abdominal_pain],713
[Atrial_fibrillation  Cellulitis],710
[Cerebrovascular_accident  Myocardial_infarction],709
[Abdominal_pain  Syncope],708
[Renal_failure_acute  Urinary_tract_infection],707
[Myocardial_infarction  Dyspnoea],706
[Gastroenteritis  Cellulitis],705
[Pleural_effusion  Pyrexia],704
[Dizziness  Pneumonia],703
[Pleural_effusion  Dyspnoea],702
[Asthenia  Vomiting],701
[Febrile_neutropenia  Dehydration],699
[Myocardial_infarction  Urinary_tract_infection],697
[Atrial_fibrillation  Vomiting],696
[Renal_failure_acute  Atrial_fibrillation],695
[Deep_vein_thrombosis  Pyrexia],694
[Thrombocytopenia  Anaemia],693
[Chest_pain  Anaemia],692
[Chest_pain  Cellulitis],691
[Diarrhoea  Syncope],690
[Hypotension  Pyrexia],688
[Pleural_effusion  Abdominal_pain],687
[Cardiac_arrest  Pneumonia],682
[Anaemia  Death],681
[Renal_failure  Sepsis],680
[Renal_failure_acute  Diarrhoea],679
[Myocardial_infarction  Syncope],678
[Myocardial_infarction  Cellulitis],677
[Chest_pain  Urinary_tract_infection],676
[Septic_shock  Pneumonia],674
[Hypotension  Dyspnoea],673
[Asthenia  Anaemia],672
[Bronchitis  Anaemia],671
[Deep_vein_thrombosis  Vomiting],670
[Gastroenteritis  Vomiting],669
[Febrile_neutropenia  Pyrexia],668
[Pulmonary_embolism  Syncope],666
[Back_pain  Abdominal_pain],665
[Nausea  Death],664
[Appendicitis  Pneumonia],663
[Bronchitis  Dyspnoea],662
[Dyspnoea  Death],661
[Pulmonary_embolism  Cellulitis],660
[Angina_pectoris  Myocardial_infarction],659
[Deep_vein_thrombosis  Abdominal_pain],658
[Hypotension  Anaemia],657
[Asthenia  Diarrhoea],656
[Bronchitis  Gastroenteritis],653
[Renal_failure  Vomiting],652
[Renal_failure_acute  Cellulitis],651
[Syncope  Death],650
[Renal_failure  Anaemia],649
[Myocardial_infarction  Sepsis],646
[Myocardial_infarction  Abdominal_pain],645
[Chest_pain  Vomiting],644
[Bronchitis  Dehydration],643
[Back_pain  Pyrexia],640
[Hypotension  Atrial_fibrillation],639
[Thrombocytopenia  Dehydration],638
[Headache  Vomiting],637
[Renal_failure  Pyrexia],636
[Febrile_neutropenia  Nausea],631
[Hypotension  Abdominal_pain],630
[Cerebrovascular_accident  Dyspnoea],628
[Hypertension  Syncope],627
[Dizziness  Dehydration],625
[Bronchopneumonia  Pneumonia],624
[Pneumothorax  Pneumonia],623
[Pancreatitis  Pneumonia],622
[Deep_vein_thrombosis  Urinary_tract_infection],621
[Atrial_fibrillation  Death],620
[Renal_failure  Renal_failure_acute],619
[Gastrointestinal_haemorrhage  Anaemia],618
[Gastroenteritis  Abdominal_pain],617
[Asthenia  Nausea],616
[Respiratory_failure  Pyrexia],615
