event,freq,type
[Pneumonia],4765,undirected
[Dehydration],2832,undirected
[Vomiting],2645,undirected
[Death],2591,undirected
[Pyrexia],2387,undirected
[Sepsis],2099,undirected
[Nausea],2096,undirected
[Anaemia],2080,undirected
[Syncope],2036,undirected
[Cellulitis],2012,undirected
[Abdominal_pain],1987,undirected
[Dyspnoea],1976,undirected
[Atrial_fibrillation],1901,undirected
[Gastroenteritis],1891,undirected
[Urinary_tract_infection],1863,undirected
[Myocardial_infarction],1823,undirected
[Diarrhoea],1754,undirected
[Pulmonary_embolism],1731,undirected
[Chest_pain],1730,undirected
[Hypotension],1643,undirected
[Hypertension],1600,undirected
[Renal_failure_acute],1469,undirected
[Bronchitis],1435,undirected
[Cerebrovascular_accident],1419,undirected
[Fatigue],1408,undirected
[Pleural_effusion],1333,undirected
[Deep_vein_thrombosis],1317,undirected
[Back_pain],1299,undirected
[Febrile_neutropenia],1269,undirected
[Angina_pectoris],1257,undirected
[Depression],1255,undirected
[Chronic_obstructive_pulmonary_disease],1244,undirected
[Renal_failure],1228,undirected
[Respiratory_failure],1228,undirected
[Cardiac_failure],1004,undirected
[Hypoxia],998,undirected
[Infection],947,undirected
[Asthma],940,undirected
[Pancreatitis],932,undirected
[Transient_ischaemic_attack],924,undirected
[Cardiac_arrest],913,undirected
[Non-cardiac_chest_pain],906,undirected
[Arthralgia],902,undirected
[Gastritis],864,undirected
[Pneumothorax],862,undirected
[Diverticulitis],836,undirected
[Bronchopneumonia],813,undirected
[Hypoglycaemia],812,undirected
[Septic_shock],805,undirected
[Ileus],766,undirected
[Breast_cancer],764,undirected
[Pyelonephritis],759,undirected
[Nephrolithiasis],753,undirected
[Hyponatraemia],745,undirected
[Pain],732,undirected
[Small_intestinal_obstruction],728,undirected
[Prostate_cancer],723,undirected
[Femur_fracture],710,undirected
[Colitis],708,undirected
[Angina_unstable],707,undirected
[Intestinal_obstruction],707,undirected
[Hyperglycaemia],699,undirected
[Hypokalaemia],687,undirected
[Dyspnea],687,undirected
[Confusional_state],687,undirected
[Intervertebral_disc_protrusion],681,undirected
[Diarrhea],663,undirected
[Pneumonitis],659,undirected
[Herpes_zoster],585,undirected
[Lobar_pneumonia],583,undirected
[Cerebral_infarction],581,undirected
[Anemia],580,undirected
[Colon_cancer],580,undirected
[Road_traffic_accident],579,undirected
[Abdominal_pain_upper],578,undirected
[Lower_respiratory_tract_infection],576,undirected
[General_physical_health_deterioration],574,undirected
[Cough],568,undirected
[Myocardial_ischaemia],564,undirected
[Ascites],563,undirected
[Thrombosis],557,undirected
[Alanine_aminotransferase_increased],552,undirected
[Acute_respiratory_failure],546,undirected
[Multi-organ_failure],545,undirected
[Anxiety],541,undirected
[Respiratory_tract_infection],540,undirected
[Basal_cell_carcinoma],535,undirected
[Pulmonary_oedema],533,undirected
[Lung_infection],532,undirected
[Cataract],528,undirected
[Acute_coronary_syndrome],526,undirected
[Osteomyelitis],526,undirected
[Rash],526,undirected
[Cardio-respiratory_arrest],523,undirected
[Disease_progression],521,undirected
[Pancytopenia],520,undirected
[Diabetes_mellitus],516,undirected
[Lung_neoplasm_malignant],515,undirected
[Viral_infection],513,undirected
[Bacteraemia],512,undirected
[Pancreatitis_acute],511,undirected
[Supraventricular_tachycardia],507,undirected
[Overdose],479,undirected
[Mental_status_changes],477,undirected
[Suicidal_ideation],473,undirected
[Humerus_fracture],465,undirected
[Erysipelas],457,undirected
[Subdural_haematoma],456,undirected
[Femoral_neck_fracture],453,undirected
[Decreased_appetite],450,undirected
[PNEUMONIA],445,undirected
[Blood_creatinine_increased],443,undirected
[Epilepsy],442,undirected
[Pericardial_effusion],442,undirected
[Upper_gastrointestinal_haemorrhage],439,undirected
[Respiratory_distress],439,undirected
[Rib_fracture],436,undirected
[Platelet_count_decreased],432,undirected
[Wound_infection],431,undirected
[Fever],429,undirected
[Haematoma],419,undirected
[Neutrophil_count_decreased],419,undirected
[Presyncope],416,undirected
[Contusion],413,undirected
[Arthritis],412,undirected
[Gastroenteritis_viral],410,undirected
[Muscular_weakness],406,undirected
[Staphylococcal_infection],402,undirected
[Device_related_infection],394,undirected
[Gastric_ulcer],394,undirected
[Head_injury],393,undirected
[Musculoskeletal_chest_pain],389,undirected
[Benign_prostatic_hyperplasia],388,undirected
[Ventricular_tachycardia],387,undirected
[Encephalopathy],385,undirected
[Hydronephrosis],385,undirected
[Interstitial_lung_disease],341,undirected
[Tibia_fracture],340,undirected
[Malaise],339,undirected
[Gastrooesophageal_reflux_disease],339,undirected
[Myalgia],337,undirected
[Pericarditis],336,undirected
[Haemorrhoids],336,undirected
[Post_procedural_haemorrhage],335,undirected
[Joint_dislocation],335,undirected
[Hypercalcaemia],333,undirected
[Renal_failure_chronic],332,undirected
[Hepatic_failure],331,undirected
[Chest_Pain],331,undirected
[Psychotic_disorder],331,undirected
[Uterine_leiomyoma],331,undirected
[Orthostatic_hypotension],329,undirected
[Melaena],328,undirected
[Gastric_cancer],328,undirected
[Osteonecrosis],327,undirected
