event_triple	freq
[Nausea, Vomiting, Death]	644
[Vomiting, Dehydration, Death]	643
[Sepsis, Pneumonia, Death]	630
[Dehydration, Pneumonia, Death]	629
[Anaemia, Pneumonia, Death]	625
[Dyspnoea, Pneumonia, Death]	602
[Pyrexia, Pneumonia, Death]	597
[Vomiting, Pneumonia, Death]	573
[Nausea, Dehydration, Death]	553
[Syncope, Pneumonia, Death]	542
[Atrial_fibrillation, Pneumonia, Death]	537
[Diarrhoea, Pneumonia, Death]	535
[Urinary_tract_infection, Pneumonia, Death]	527
[Cellulitis, Pneumonia, Death]	525
[Pulmonary_embolism, Pneumonia, Death]	515
[Dyspnoea, Anaemia, Death]	510
[Pyrexia, Anaemia, Death]	501
[Pyrexia, Dyspnoea, Death]	497
[Sepsis, Dehydration, Death]	495
[Myocardial_infarction, Pneumonia, Death]	492
[Gastroenteritis, Pneumonia, Death]	488
[Chest_pain, Pneumonia, Death]	487
[Anaemia, Sepsis, Death]	485
[Abdominal_pain, Pneumonia, Death]	483
[Pyrexia, Vomiting, Death]	481
[Pyrexia, Sepsis, Death]	479
[Dyspnoea, Dehydration, Death]	478
[Renal_failure_acute, Pneumonia, Death]	475
[Bronchitis, Pneumonia, Death]	471
[Diarrhoea, Pyrexia, Death]	466
[Diarrhoea, Anaemia, Death]	465
[Sepsis, Vomiting, Death]	463
[Anaemia, Dehydration, Death]	462
[Dyspnoea, Sepsis, Death]	461
[Nausea, Pneumonia, Death]	459
[Abdominal_pain, Dehydration, Death]	458
[Hypotension, Pneumonia, Death]	455
[Diarrhoea, Dyspnoea, Death]	453
[Cerebrovascular_accident, Pneumonia, Death]	449
[Dyspnoea, Vomiting, Death]	447
[Diarrhoea, Vomiting, Death]	445
[Fatigue, Dehydration, Death]	442
[Urinary_tract_infection, Dehydration, Death]	440
[Hypotension, Vomiting, Death]	438
[Respiratory_failure, Pneumonia, Death]	437
[Syncope, Sepsis, Death]	435
[Anaemia, Vomiting, Death]	432
[Fatigue, Vomiting, Death]	431
[Hypertension, Pneumonia, Death]	429
[Renal_failure, Pneumonia, Death]	428
[Syncope, Dyspnoea, Death]	427
[Pulmonary_embolism, Anaemia, Death]	425
[Asthenia, Pneumonia, Death]	424
[Back_pain, Pneumonia, Death]	423
[Constipation, Dehydration, Death]	421
[Cellulitis, Anaemia, Death]	420
[Urinary_tract_infection, Sepsis, Death]	419
[Cellulitis, Sepsis, Death]	418
[Syncope, Anaemia, Death]	417
[Hypertension, Dehydration, Death]	416
[Abdominal_pain, Urinary_tract_infection, Death]	415
[Pulmonary_embolism, Dyspnoea, Death]	414
[Atrial_fibrillation, Dehydration, Death]	413
[Urinary_tract_infection, Anaemia, Death]	411
[Atrial_fibrillation, Sepsis, Death]	410
[Urinary_tract_infection, Atrial_fibrillation, Death]	409
[Syncope, Pyrexia, Death]	408
[Renal_failure_acute, Anaemia, Death]	407
[Atrial_fibrillation, Anaemia, Death]	405
[Urinary_tract_infection, Dyspnoea, Death]	404
[Abdominal_pain, Sepsis, Death]	403
[Gastrointestinal_haemorrhage, Pneumonia, Death]	402
[Pyrexia, Nausea, Death]	400
[Abdominal_pain, Nausea, Death]	398
[Urinary_tract_infection, Vomiting, Death]	397
[Cardiac_failure, Pneumonia, Death]	396
[Cellulitis, Dyspnoea, Death]	395
[Pleural_effusion, Dehydration, Death]	394
[Pulmonary_embolism, Atrial_fibrillation, Death]	393
[Abdominal_pain, Dyspnoea, Death]	392
[Abdominal_pain, Anaemia, Death]	391
[Dizziness, Dehydration, Death]	390
[Gastroenteritis, Anaemia, Death]	389
[Pulmonary_embolism, Dehydration, Death]	388
[Dizziness, Vomiting, Death]	386
[Sepsis, Nausea, Death]	385
[Dyspnoea, Nausea, Death]	384
[Renal_failure_acute, Dyspnoea, Death]	383
[Myocardial_infarction, Dyspnoea, Death]	382
[Chest_pain, Dyspnoea, Death]	381
[Thrombocytopenia, Pneumonia, Death]	380
[Deep_vein_thrombosis, Pulmonary_embolism, Death]	379
[Hypotension, Syncope, Death]	378
[Renal_failure, Dehydration, Death]	377
[Back_pain, Dehydration, Death]	376
[Pulmonary_embolism, Diarrhoea, Death]	375
[Abdominal_pain, Atrial_fibrillation, Death]	374
[Myocardial_infarction, Pulmonary_embolism, Death]	373
[Respiratory_failure, Sepsis, Death]	372
[Diarrhoea, Syncope, Death]	371
[Bronchitis, Dyspnoea, Death]	370
[Renal_failure_acute, Pulmonary_embolism, Death]	369
[Gastroenteritis, Pyrexia, Death]	368
[Cerebrovascular_accident, Anaemia, Death]	367
[Deep_vein_thrombosis, Anaemia, Death]	366
[Constipation, Pneumonia, Death]	365
[Renal_failure_acute, Atrial_fibrillation, Death]	364
[Bronchitis, Dehydration, Death]	363
[Abdominal_pain, Syncope, Death]	362
[Renal_failure, Sepsis, Death]	361
[Asthenia, Anaemia, Death]	360
[Back_pain, Abdominal_pain, Death]	359
[Pleural_effusion, Urinary_tract_infection, Death]	358
[Back_pain, Vomiting, Death]	357
[Chest_pain, Myocardial_infarction, Death]	356
[Pleural_effusion, Abdominal_pain, Death]	355
[Hypertension, Syncope, Death]	354
[Pulmonary_embolism, Syncope, Death]	353
[Fatigue, Pneumonia, Death]	352
[Cellulitis, Diarrhoea, Death]	351
[Pleural_effusion, Anaemia, Death]	350
[Deep_vein_thrombosis, Dyspnoea, Death]	349
[Atrial_fibrillation, Hypotension, Death]	348
[Renal_failure, Vomiting, Death]	347
[Bronchitis, Syncope, Death]	346
[Hypertension, Dyspnoea, Death]	345
[Renal_failure, Dyspnoea, Death]	344
[Chest_pain, Pulmonary_embolism, Death]	343
[Chest_pain, Pyrexia, Death]	342
[Pleural_effusion, Pulmonary_embolism, Death]	341
[Pleural_effusion, Nausea, Death]	340
[Deep_vein_thrombosis, Atrial_fibrillation, Death]	339
[Cerebrovascular_accident, Renal_failure_acute, Death]	338
[Thrombocytopenia, Anaemia, Death]	337
[Deep_vein_thrombosis, Diarrhoea, Death]	336
[Bronchitis, Diarrhoea, Death]	335
[Chest_pain, Cellulitis, Death]	334
[Respiratory_failure, Pyrexia, Death]	333
[Transient_ischaemic_attack, Pneumonia, Death]	332
[Cardiac_failure_congestive, Atrial_fibrillation, Death]	331
[Respiratory_failure, Renal_failure_acute, Death]	330
