event_quintuple	freq
[Pyrexia, Dyspnoea, Anaemia, Pneumonia, Death]	397
[Dyspnoea, Anaemia, Sepsis, Pneumonia, Death]	393
[Pyrexia, Anaemia, Sepsis, Pneumonia, Death]	387
[Pyrexia, Dyspnoea, Sepsis, Pneumonia, Death]	384
[Dyspnoea, Anaemia, Dehydration, Pneumonia, Death]	375
[Diarrhoea, Pyrexia, Anaemia, Pneumonia, Death]	373
[Pyrexia, Dyspnoea, Vomiting, Pneumonia, Death]	372
[Pyrexia, Vomiting, Dehydration, Pneumonia, Death]	371
[Diarrhoea, Pyrexia, Vomiting, Pneumonia, Death]	370
[Pyrexia, Dyspnoea, Dehydration, Pneumonia, Death]	369
[Pyrexia, Anaemia, Dehydration, Pneumonia, Death]	367
[Pyrexia, Sepsis, Dehydration, Pneumonia, Death]	365
[Dyspnoea, Sepsis, Dehydration, Pneumonia, Death]	364
[Dyspnoea, Anaemia, Vomiting, Pneumonia, Death]	362
[Diarrhoea, Dyspnoea, Sepsis, Pneumonia, Death]	360
[Sepsis, Vomiting, Dehydration, Pneumonia, Death]	358
[Pyrexia, Dyspnoea, Anaemia, Sepsis, Death]	356
[Diarrhoea, Dyspnoea, Vomiting, Pneumonia, Death]	354
[Diarrhoea, Pyrexia, Dehydration, Pneumonia, Death]	353
[Diarrhoea, Dyspnoea, Dehydration, Pneumonia, Death]	352
[Diarrhoea, Anaemia, Vomiting, Pneumonia, Death]	351
[Dyspnoea, Sepsis, Vomiting, Pneumonia, Death]	349
[Pyrexia, Dyspnoea, Anaemia, Vomiting, Death]	346
[Anaemia, Vomiting, Dehydration, Pneumonia, Death]	345
[Diarrhoea, Pyrexia, Dyspnoea, Vomiting, Death]	343
[Diarrhoea, Sepsis, Vomiting, Pneumonia, Death]	342
[Pyrexia, Dyspnoea, Anaemia, Dehydration, Death]	341
[Diarrhoea, Pyrexia, Dyspnoea, Sepsis, Death]	340
[Pyrexia, Nausea, Vomiting, Pneumonia, Death]	338
[Pulmonary_embolism, Dyspnoea, Anaemia, Pneumonia, Death]	337
[Diarrhoea, Pyrexia, Anaemia, Sepsis, Death]	336
[Pyrexia, Dyspnoea, Vomiting, Dehydration, Death]	335
[Diarrhoea, Dyspnoea, Anaemia, Vomiting, Death]	334
[Syncope, Dyspnoea, Sepsis, Pneumonia, Death]	333
[Pyrexia, Dyspnoea, Sepsis, Dehydration, Death]	332
[Pyrexia, Anaemia, Vomiting, Dehydration, Death]	331
[Dyspnoea, Anaemia, Sepsis, Dehydration, Death]	330
[Pulmonary_embolism, Pyrexia, Anaemia, Pneumonia, Death]	329
[Cellulitis, Anaemia, Sepsis, Pneumonia, Death]	328
[Urinary_tract_infection, Dyspnoea, Anaemia, Pneumonia, Death]	327
[Diarrhoea, Dyspnoea, Anaemia, Dehydration, Death]	326
[Abdominal_pain, Dyspnoea, Anaemia, Pneumonia, Death]	325
[Sepsis, Nausea, Vomiting, Pneumonia, Death]	324
[Cellulitis, Pyrexia, Sepsis, Pneumonia, Death]	323
[Hypotension, Nausea, Vomiting, Dehydration, Death]	322
[Diarrhoea, Dyspnoea, Sepsis, Vomiting, Death]	321
[Pulmonary_embolism, Dyspnoea, Sepsis, Pneumonia, Death]	320
[Cellulitis, Pyrexia, Anaemia, Pneumonia, Death]	318
[Urinary_tract_infection, Sepsis, Dehydration, Pneumonia, Death]	317
[Pulmonary_embolism, Dyspnoea, Dehydration, Pneumonia, Death]	316
[Urinary_tract_infection, Pyrexia, Anaemia, Pneumonia, Death]	315
[Diarrhoea, Nausea, Vomiting, Pneumonia, Death]	314
[Pulmonary_embolism, Pyrexia, Dehydration, Pneumonia, Death]	313
[Syncope, Pyrexia, Dehydration, Pneumonia, Death]	312
[Renal_failure_acute, Pulmonary_embolism, Anaemia, Pneumonia, Death]	311
[Pyrexia, Dyspnoea, Nausea, Vomiting, Death]	310
