single event - death	freq
"[Pneumonia, Death]"	1101
"[Dehydration, Death]"	936
"[Vomiting, Death]"	882
"[Nausea, Death]"	750
"[Sepsis, Death]"	742
"[Anaemia, Death]"	695
"[Dyspnoea, Death]"	684
"[Pyrexia, Death]"	678
"[Hypotension, Death]"	662
"[Atrial_fibrillation, Death]"	640
"[Urinary_tract_infection, Death]"	633
"[Abdominal_pain, Death]"	625
"[Hypertension, Death]"	606
"[Diarrhoea, Death]"	600
"[Cellulitis, Death]"	591
"[Myocardial_infarction, Death]"	580
"[Fatigue, Death]"	572
"[Constipation, Death]"	564
"[Chest_pain, Death]"	563
"[Pleural_effusion, Death]"	551
"[Gastroenteritis, Death]"	541
"[Dizziness, Death]"	539
"[Back_pain, Death]"	529
"[Renal_failure_acute, Death]"	527
"[Bronchitis, Death]"	510
"[Cerebrovascular_accident, Death]"	506
"[Respiratory_failure, Death]"	491
"[Deep_vein_thrombosis, Death]"	478
"[Asthenia, Death]"	464
"[Headache, Death]"	440
"[Thrombocytopenia, Death]"	439
"[Cardiac_failure, Death]"	438
"[Depression, Death]"	432
"[Gastrointestinal_haemorrhage, Death]"	430
"[Infection, Death]"	427
"[Angina_pectoris, Death]"	426
"[Cholecystitis, Death]"	424
"[Convulsion, Death]"	418
"[Chronic_obstructive_pulmonary_disease, Death]"	417
"[Cardiac_arrest, Death]"	416
"[Fall, Death]"	403
"[Cholelithiasis, Death]"	391
"[Pancreatitis, Death]"	389
"[Pneumothorax, Death]"	387
"[Febrile_neutropenia, Death]"	386
"[Arthralgia, Death]"	382
"[Septic_shock, Death]"	373
"[Neutropenia, Death]"	372
"[Gastritis, Death]"	363
"[Transient_ischaemic_attack, Death]"	357
"[Pain, Death]"	355
"[Osteoarthritis, Death]"	342
"[Hyponatraemia, Death]"	338
"[Hypoglycaemia, Death]"	333
"[Epistaxis, Death]"	327
"[Cough, Death]"	323
"[Hypokalaemia, Death]"	320
"[Appendicitis, Death]"	319
"[Ileus, Death]"	318
"[Bronchopneumonia, Death]"	317
"[Hyperglycaemia, Death]"	314
"[Pain_in_extremity, Death]"	313
"[Dysphagia, Death]"	308
"[Colitis, Death]"	304
"[Diverticulitis, Death]"	303
"[Haemoptysis, Death]"	302
"[Vertigo, Death]"	299
"[Pneumonitis, Death]"	297
"[Oedema_peripheral, Death]"	293
"[Diarrhea, Death]"	290
"[Femur_fracture, Death]"	287
"[Angina_unstable, Death]"	283
"[Urinary_retention, Death]"	282
"[Intestinal_obstruction, Death]"	281
"[Multi-organ_failure, Death]"	280
"[Pyelonephritis, Death]"	279
"[General_physical_health_deterioration, Death]"	275
"[Abdominal_pain_upper, Death]"	273
"[Lung_infection, Death]"	272
"[Asthma, Death]"	270
"[Cholecystitis_acute, Death]"	269
"[Pulmonary_oedema, Death]"	267
"[Cardio-respiratory_arrest, Death]"	265
"[Dyspnea, Death]"	264
"[Prostate_cancer, Death]"	263
"[Ascites, Death]"	259
"[Lower_respiratory_tract_infection, Death]"	258
"[Arrhythmia, Death]"	257
"[Inguinal_hernia, Death]"	255
"[Atrial_flutter, Death]"	254
"[Upper_respiratory_tract_infection, Death]"	253
"[Myocardial_ischaemia, Death]"	251
"[Leukopenia, Death]"	248
"[Lobar_pneumonia, Death]"	247
"[Ischaemic_stroke, Death]"	246
"[Diabetes_mellitus, Death]"	241
"[Hypertensive_crisis, Death]"	239
"[Rectal_haemorrhage, Death]"	238
"[Supraventricular_tachycardia, Death]"	237
"[Pneumonia_aspiration, Death]"	236
"[Tachycardia, Death]"	235
"[Lung_neoplasm_malignant, Death]"	234
"[Thrombosis, Death]"	231
"[Osteomyelitis, Death]"	227
"[Pericardial_effusion, Death]"	226
"[Femoral_neck_fracture, Death]"	224
"[Alanine_aminotransferase_increased, Death]"	223
"[Haematoma, Death]"	222
"[Pancreatitis_acute, Death]"	220
"[Subdural_haematoma, Death]"	219
"[Road_traffic_accident, Death]"	218
"[Intervertebral_disc_protrusion, Death]"	216
"[Fever, Death]"	215
"[Aspartate_aminotransferase_increased, Death]"	213
"[Humerus_fracture, Death]"	211
"[Rib_fracture, Death]"	209
"[Upper_gastrointestinal_haemorrhage, Death]"	207
"[Sinusitis, Death]"	206
"[Ventricular_tachycardia, Death]"	205
"[Arthritis, Death]"	204
"[Myalgia, Death]"	202
"[Haematemesis, Death]"	201
"[Hypersensitivity, Death]"	200
"[Contusion, Death]"	198
"[Blood_creatinine_increased, Death]"	197
"[Mental_status_changes, Death]"	196
"[Influenza, Death]"	195
"[Palpitations, Death]"	194
"[Gastric_ulcer, Death]"	193
"[Respiratory_distress, Death]"	191
"[Musculoskeletal_pain, Death]"	190
"[Device_related_infection, Death]"	188
"[Hydronephrosis, Death]"	187
"[Muscular_weakness, Death]"	185
"[Benign_prostatic_hyperplasia, Death]"	183
"[Renal_impairment, Death]"	182
"[Musculoskeletal_chest_pain, Death]"	180
"[Orthostatic_hypotension, Death]"	178
"[Malaise, Death]"	177
"[Head_injury, Death]"	175
"[Melaena, Death]"	174
"[Staphylococcal_infection, Death]"	173
"[Bladder_cancer, Death]"	172
"[Aortic_aneurysm, Death]"	171
"[Loss_of_consciousness, Death]"	170
"[Fracture, Death]"	168
"[Cholangitis, Death]"	166
"[Duodenal_ulcer, Death]"	165
"[Haemorrhage, Death]"	164
"[Cerebral_ischaemia, Death]"	163
"[Hypercalcaemia, Death]"	162
