topNumberedFeatures,class label,precision,recall,f1-score,accuracy,class label,precision,recall,f1-score,accuracy
1,0.0,0.8174171202375062,1.0,0.8995371630819494,0.8174171202375062,1.0,0.0,0.0,0.0,0.8174171202375062,
5,0.0,0.8229527104959631,0.8638014527845036,0.8428824571766096,0.7367639782285997,1.0,0.21602787456445993,0.16802168021680217,0.18902439024390244,0.7367639782285997,
10,0.0,0.8354101765316718,0.9739709443099274,0.8993851313583007,0.8218703612073232,1.0,0.5473684210526316,0.14092140921409213,0.22413793103448276,0.8218703612073232,
15,0.0,0.8383202099737532,0.9667070217917676,0.897947708743323,0.8203859475507175,1.0,0.5258620689655172,0.16531165311653118,0.25154639175257737,0.8203859475507175,
20,0.0,0.8392384981491274,0.9606537530266344,0.8958509737510584,0.8174171202375062,1.0,0.5,0.17615176151761516,0.2605210420841683,0.8174171202375062,
25,0.0,0.8390865639936272,0.9564164648910412,0.8939179632248939,0.8144482929242949,1.0,0.4782608695652174,0.17886178861788618,0.2603550295857988,0.8144482929242949,
30,0.0,0.8390191897654584,0.9527845036319612,0.8922902494331065,0.8119742701632855,1.0,0.46206896551724136,0.18157181571815717,0.2607003891050583,0.8119742701632855,
35,0.0,0.8394863563402889,0.9497578692493946,0.8912240840670264,0.8104898565066798,1.0,0.45394736842105265,0.18699186991869918,0.2648752399232246,0.8104898565066798,
40,0.0,0.8407506702412869,0.9491525423728814,0.8916690361103213,0.8114794656110836,1.0,0.46153846153846156,0.1951219512195122,0.2742857142857143,0.8114794656110836,
45,0.0,0.8400214018191546,0.950363196125908,0.8917921045157625,0.8114794656110836,1.0,0.4605263157894737,0.1897018970189702,0.26871401151631474,0.8114794656110836,
50,0.0,0.8403856454204607,0.9497578692493946,0.8917306052855926,0.8114794656110836,1.0,0.461038961038961,0.19241192411924118,0.27151051625239003,0.8114794656110836,
55,0.0,0.8424731182795699,0.948547215496368,0.8923690205011389,0.8129638792676893,1.0,0.4720496894409938,0.20596205962059622,0.28679245283018867,0.8129638792676893,
60,0.0,0.8419633225458468,0.9449152542372882,0.8904734740444952,0.809995051954478,1.0,0.4550898203592814,0.20596205962059622,0.2835820895522388,0.809995051954478,
65,0.0,0.841991341991342,0.9418886198547215,0.8891428571428571,0.8080158337456704,1.0,0.44508670520231214,0.2086720867208672,0.28413284132841327,0.8080158337456704,
70,0.0,0.8415626695604992,0.9388619854721549,0.8875536480686695,0.805541810984661,1.0,0.43258426966292135,0.2086720867208672,0.28153564899451555,0.805541810984661,
75,0.0,0.84244721169464,0.9418886198547215,0.889396970563018,0.8085106382978723,1.0,0.4482758620689655,0.21138211382113822,0.287292817679558,0.8085106382978723,
80,0.0,0.841330425299891,0.9340193704600485,0.885255306942054,0.802078179119248,1.0,0.41711229946524064,0.21138211382113822,0.28057553956834536,0.802078179119248,
85,0.0,0.843630399125205,0.9340193704600485,0.886526860097673,0.8045522018802573,1.0,0.4322916666666667,0.22493224932249323,0.29590017825311943,0.8045522018802573,
90,0.0,0.8441771459814106,0.9346246973365617,0.8871014076414823,0.805541810984661,1.0,0.4375,0.22764227642276422,0.2994652406417112,0.805541810984661,
95,0.0,0.8459429824561403,0.9340193704600485,0.8878020713463752,0.8070262246412667,1.0,0.4467005076142132,0.23848238482384823,0.31095406360424027,0.8070262246412667,
100,0.0,0.9969530773918343,0.9903147699757869,0.9936228363194656,0.9896091044037605,1.0,0.9578947368421052,0.986449864498645,0.97196261682243,0.9896091044037605,
105,0.0,0.9963076923076923,0.9800242130750605,0.988098870918523,0.9807026224641266,1.0,0.9166666666666666,0.983739837398374,0.9490196078431372,0.9807026224641266,
110,0.0,0.9957264957264957,0.9872881355932204,0.9914893617021276,0.9861454725383474,1.0,0.9451697127937336,0.981029810298103,0.9627659574468086,0.9861454725383474,
115,0.0,0.9963302752293578,0.9860774818401937,0.9911773653787648,0.9856506679861454,1.0,0.9404145077720207,0.983739837398374,0.96158940397351,0.9856506679861454,
120,0.0,0.9956896551724138,0.9788135593220338,0.9871794871794871,0.9792182088075211,1.0,0.9118387909319899,0.981029810298103,0.9451697127937337,0.9792182088075211,
125,0.0,0.9969097651421508,0.9763922518159807,0.9865443425076453,0.9782285997031173,1.0,0.9032258064516129,0.986449864498645,0.9430051813471503,0.9782285997031173,
130,0.0,0.9963235294117647,0.9842615012106537,0.9902557856272838,0.9841662543295399,1.0,0.9331619537275064,0.983739837398374,0.9577836411609498,0.9841662543295399,
135,0.0,0.9969192852741836,0.9794188861985472,0.9880916030534351,0.9807026224641266,1.0,0.914572864321608,0.986449864498645,0.9491525423728814,0.9807026224641266,
140,0.0,0.9957055214723927,0.9824455205811138,0.9890310786106032,0.9821870361207323,1.0,0.9258312020460358,0.981029810298103,0.9526315789473684,0.9821870361207323,
145,0.0,0.9956869993838571,0.9782082324455206,0.9868702290076335,0.9787234042553191,1.0,0.9095477386934674,0.981029810298103,0.9439374185136897,0.9787234042553191,
150,0.0,0.996316758747698,0.9824455205811138,0.989332520572996,0.9826818406729342,1.0,0.9260204081632653,0.983739837398374,0.9540078843626807,0.9826818406729342,
155,0.0,0.9950950337216432,0.9824455205811138,0.9887298202863236,0.9816922315685305,1.0,0.9256410256410257,0.978319783197832,0.9512516469038208,0.9816922315685305,
160,0.0,0.9950738916256158,0.9782082324455206,0.9865689865689867,0.9782285997031173,1.0,0.9093198992443325,0.978319783197832,0.9425587467362924,0.9782285997031173,
165,0.0,0.9950738916256158,0.9782082324455206,0.9865689865689867,0.9782285997031173,1.0,0.9093198992443325,0.978319783197832,0.9425587467362924,0.9782285997031173,
170,0.0,0.9950647748303516,0.9763922518159807,0.9856400855484265,0.9767441860465116,1.0,0.9025,0.978319783197832,0.9388816644993497,0.9767441860465116,
175,0.0,0.9957081545064378,0.9830508474576272,0.9893390191897654,0.9826818406729342,1.0,0.9282051282051282,0.981029810298103,0.9538866930171278,0.9826818406729342,
180,0.0,0.994488671157379,0.9830508474576272,0.9887366818873669,0.9816922315685305,1.0,0.9278350515463918,0.975609756097561,0.9511228533685602,0.9816922315685305,
185,0.0,0.9938574938574939,0.9794188861985472,0.9865853658536585,0.9782285997031173,1.0,0.9134860050890585,0.9728997289972899,0.9422572178477691,0.9782285997031173,
190,0.0,0.9950708564386938,0.9776029055690073,0.9862595419847328,0.9777337951509154,1.0,0.907035175879397,0.978319783197832,0.9413298565840938,0.9777337951509154,
195,0.0,0.9944478716841456,0.9757869249394673,0.9850290253589978,0.9757545769421079,1.0,0.9,0.975609756097561,0.9362808842652797,0.9757545769421079,
200,0.0,0.9956629491945477,0.9727602905569007,0.9840783833435395,0.9742701632855022,1.0,0.8894348894348895,0.981029810298103,0.9329896907216495,0.9742701632855022,
