New,Old
NCT00001959,NCT00001959
NCT00048581,NCT00048581
NCT00050778,NCT00049543
NCT00062647,NCT00050778
NCT00062751,NCT00062647
NCT00065156,NCT00065156
NCT00067808,NCT00067808
NCT00075803,NCT00075803
NCT00079781,NCT00079781
NCT00083720,NCT00083720
NCT00084409,NCT00084409
NCT00085839,NCT00085839
NCT00086346,NCT00086346
NCT00086580,NCT00086580
NCT00087438,NCT00087438
NCT00087672,NCT00087672
NCT00090363,NCT00090363
NCT00092443,NCT00092443
NCT00094770,NCT00092677
NCT00095979,NCT00094770
NCT00098254,NCT00095199
NCT00101400,NCT00095303
NCT00101413,NCT00098254
NCT00104871,NCT00101400
NCT00105027,NCT00101413
NCT00113217,NCT00103311
NCT00113321,NCT00104871
NCT00116428,NCT00105027
NCT00117988,NCT00112671
NCT00118534,NCT00113217
NCT00127712,NCT00113321
NCT00137449,NCT00116428
NCT00142298,NCT00118534
NCT00144170,NCT00127712
NCT00147199,NCT00129766
NCT00154297,NCT00137449
NCT00157755,NCT00142298
NCT00159783,NCT00144170
NCT00162123,NCT00147199
NCT00162266,NCT00157755
NCT00168337,NCT00159783
NCT00168831,NCT00162123
NCT00172042,NCT00162266
NCT00175877,NCT00168337
NCT00184548,NCT00168844
NCT00189540,NCT00175877
NCT00194896,NCT00184548
NCT00195442,NCT00189540
NCT00199381,NCT00194896
NCT00215553,NCT00195442
NCT00225212,NCT00199381
NCT00234104,NCT00215553
NCT00235755,NCT00225212
NCT00242567,NCT00234104
NCT00242710,NCT00235755
NCT00245102,NCT00242567
NCT00245128,NCT00242710
NCT00247377,NCT00245128
NCT00249795,NCT00247273
NCT00252720,NCT00247377
NCT00254293,NCT00249795
NCT00261950,NCT00252720
NCT00264537,NCT00254293
NCT00266799,NCT00261950
NCT00267059,NCT00264537
NCT00268762,NCT00266799
NCT00268892,NCT00267059
NCT00274768,NCT00268762
NCT00276159,NCT00268892
NCT00277355,NCT00274768
NCT00282048,NCT00276159
NCT00284518,NCT00277355
NCT00286429,NCT00284518
NCT00286494,NCT00286494
NCT00286741,NCT00286741
NCT00290472,NCT00293462
NCT00291330,NCT00294047
NCT00293462,NCT00297232
NCT00294047,NCT00299156
NCT00297232,NCT00301964
NCT00299156,NCT00305773
NCT00305773,NCT00306384
NCT00309387,NCT00309387
NCT00309777,NCT00309777
NCT00314951,NCT00314951
NCT00315458,NCT00315458
NCT00319111,NCT00319111
NCT00323297,NCT00323479
NCT00323479,NCT00325403
NCT00325403,NCT00325780
NCT00325780,NCT00327444
NCT00327444,NCT00331864
NCT00331864,NCT00332332
NCT00332332,NCT00340379
NCT00334282,NCT00345397
NCT00340379,NCT00345592
NCT00345397,NCT00358007
NCT00345592,NCT00358917
NCT00358007,NCT00360672
NCT00358917,NCT00362232
NCT00360672,NCT00363883
NCT00362232,NCT00364013
NCT00364013,NCT00365053
NCT00366249,NCT00366249
NCT00367432,NCT00367432
NCT00368459,NCT00368459
NCT00371566,NCT00371566
NCT00373113,NCT00373113
NCT00374140,NCT00374140
NCT00374322,NCT00374322
NCT00375219,NCT00375219
NCT00377572,NCT00376688
NCT00377858,NCT00377572
NCT00379795,NCT00377858
NCT00383435,NCT00379795
NCT00383565,NCT00383435
NCT00383721,NCT00383721
NCT00384956,NCT00384956
NCT00385840,NCT00385840
NCT00386425,NCT00388037
NCT00390234,NCT00390234
NCT00392444,NCT00392444
NCT00392496,NCT00392496
NCT00393380,NCT00393380
NCT00393939,NCT00393939
NCT00394836,NCT00394836
NCT00397839,NCT00397839
NCT00398216,NCT00397878
NCT00398983,NCT00398216
NCT00400829,NCT00398983
NCT00402597,NCT00400829
NCT00407537,NCT00402597
NCT00407654,NCT00407537
NCT00408928,NCT00407654
NCT00410189,NCT00408928
NCT00410384,NCT00410189
NCT00411619,NCT00410384
NCT00412607,NCT00411619
NCT00412971,NCT00412607
NCT00413036,NCT00412971
NCT00420017,NCT00413036
NCT00421733,NCT00420017
NCT00422097,NCT00421733
NCT00424476,NCT00424476
NCT00426751,NCT00426751
NCT00428116,NCT00428116
NCT00429793,NCT00429793
NCT00429949,NCT00429949
NCT00432159,NCT00432159
NCT00433771,NCT00433771
NCT00435409,NCT00435409
NCT00440466,NCT00440466
NCT00441727,NCT00445003
NCT00450619,NCT00450619
NCT00454363,NCT00454363
NCT00455975,NCT00459667
NCT00459290,NCT00459862
NCT00459316,NCT00462826
NCT00459342,NCT00462917
NCT00459667,NCT00464204
NCT00462826,NCT00467857
NCT00462917,NCT00470470
NCT00464204,NCT00471705
NCT00468286,NCT00476476
NCT00470054,NCT00477295
NCT00471705,NCT00478608
NCT00476476,NCT00484315
NCT00477295,NCT00485264
NCT00478608,NCT00490971
NCT00484315,NCT00492284
NCT00490971,NCT00492297
NCT00492284,NCT00494585
NCT00492297,NCT00496730
NCT00494585,NCT00496860
NCT00496860,NCT00499031
NCT00499031,NCT00500682
NCT00500682,NCT00501085
NCT00501085,NCT00501995
NCT00501995,NCT00503399
NCT00503399,NCT00505284
NCT00505284,NCT00506831
NCT00506831,NCT00509041
NCT00509041,NCT00511238
NCT00511238,NCT00511862
NCT00511862,NCT00513071
NCT00513357,NCT00513357
NCT00519532,NCT00513435
NCT00520234,NCT00519532
NCT00520936,NCT00520936
NCT00523419,NCT00523419
NCT00525512,NCT00527319
NCT00527319,NCT00529243
NCT00529243,NCT00529568
NCT00529568,NCT00529659
NCT00529659,NCT00530855
NCT00530855,NCT00542321
NCT00542321,NCT00548405
NCT00546429,NCT00554671
NCT00548405,NCT00560885
NCT00554671,NCT00561392
NCT00560885,NCT00573508
NCT00561392,NCT00574847
NCT00573508,NCT00577863
NCT00574847,NCT00578942
NCT00577863,NCT00580034
NCT00578942,NCT00582075
NCT00580034,NCT00588692
NCT00582075,NCT00589914
NCT00588692,NCT00594386
NCT00588809,NCT00594568
NCT00589914,NCT00598507
NCT00594386,NCT00599196
NCT00594568,NCT00601926
NCT00598507,NCT00604461
NCT00599196,NCT00606008
NCT00601926,NCT00606944
NCT00604461,NCT00607594
NCT00606008,NCT00612339
NCT00606944,NCT00614445
NCT00607594,NCT00619957
NCT00612339,NCT00620542
NCT00614445,NCT00621777
NCT00615927,NCT00624286
NCT00619957,NCT00629525
NCT00620542,NCT00630331
NCT00621777,NCT00630396
NCT00624286,NCT00632749
NCT00629265,NCT00636168
NCT00629525,NCT00638937
NCT00630331,NCT00656136
NCT00630396,NCT00661609
NCT00632749,NCT00661622
NCT00636168,NCT00667277
NCT00638937,NCT00670462
NCT00656136,NCT00673049
NCT00661609,NCT00681187
NCT00661622,NCT00693017
NCT00667277,NCT00699374
NCT00670462,NCT00702780
NCT00671554,NCT00704028
NCT00673049,NCT00705432
NCT00680186,NCT00706706
NCT00681187,NCT00708201
NCT00682643,NCT00708435
NCT00693017,NCT00709098
NCT00699374,NCT00712959
NCT00702780,NCT00717197
NCT00704028,NCT00717756
NCT00706706,NCT00717860
NCT00708201,NCT00726609
NCT00708435,NCT00736229
NCT00709098,NCT00737672
