confidence,source,source category,frequency,target,target category,type
0.515513126,Haematoma,Vascular disorders,419,Death,General disorders,undirected
0.504780115,Cardio-respiratory_arrest,Cardiac disorders,523,Death,General disorders,undirected
0.504587156,Multi-organ_failure,General disorders,545,Death,General disorders,undirected
0.5,Cerebral_haemorrhage,Nervous system disorders,490,Death,General disorders,undirected
0.49795082,Ischaemic_stroke,Nervous system disorders,488,Death,General disorders,undirected
0.497185741,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Death,General disorders,undirected
0.496031746,Arrhythmia,Cardiac disorders,504,Death,General disorders,undirected
0.492341357,Erysipelas,Infections and infestations,457,Death,General disorders,undirected
0.492094862,Atrial_flutter,Cardiac disorders,506,Death,General disorders,undirected
0.490066225,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Death,General disorders,undirected
0.488721805,Lung_infection,Infections and infestations,532,Death,General disorders,undirected
0.488479263,Haematuria,Renal and urinary disorders,651,Death,General disorders,undirected
0.487551867,Hypertensive_crisis,Vascular disorders,482,Death,General disorders,undirected
0.482871126,Haemoptysis,"Respiratory, thoracic and mediastinal disorders",613,Death,General disorders,undirected
0.481967213,Epistaxis,"Respiratory, thoracic and mediastinal disorders",610,Death,General disorders,undirected
0.480263158,Subdural_haematoma,"Injury, poisoning and procedural complications",456,Death,General disorders,undirected
0.477777778,Respiratory_tract_infection,Infections and infestations,540,Death,General disorders,undirected
0.475378788,Cataract,Eye disorders,528,Death,General disorders,undirected
0.474849095,Rectal_haemorrhage,Gastrointestinal disorders,497,Death,General disorders,undirected
0.4743083,Hyperkalaemia,Metabolism and nutrition disorders,506,Death,General disorders,undirected
0.792362768,Haematoma,Vascular disorders,419,Pneumonia,Infections and infestations,undirected
0.665871122,Haematoma,Vascular disorders,419,Anaemia,Blood and lymphatic system disorders,undirected
0.661097852,Haematoma,Vascular disorders,419,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.649164678,Haematoma,Vascular disorders,419,Sepsis,Infections and infestations,undirected
0.625298329,Haematoma,Vascular disorders,419,Pyrexia,General disorders,undirected
0.587112172,Haematoma,Vascular disorders,419,Syncope,Nervous system disorders,undirected
0.582338902,Haematoma,Vascular disorders,419,Cellulitis,Infections and infestations,undirected
0.572792363,Haematoma,Vascular disorders,419,Urinary_tract_infection,Infections and infestations,undirected
0.568019093,Haematoma,Vascular disorders,419,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.558472554,Haematoma,Vascular disorders,419,Atrial_fibrillation,Cardiac disorders,undirected
0.556085919,Haematoma,Vascular disorders,419,Vomiting,Gastrointestinal disorders,undirected
0.548926014,Haematoma,Vascular disorders,419,Diarrhoea,Gastrointestinal disorders,undirected
0.546539379,Haematoma,Vascular disorders,419,Gastroenteritis,Infections and infestations,undirected
0.546539379,Haematoma,Vascular disorders,419,Dehydration,Metabolism and nutrition disorders,undirected
