Trial Id,Phase,Condition,Intervention,High Confidence Event(s),Death Category,Has death? (Y/N)
NCT00000125,Phase 3,Ocular_Hypertension Glaucoma ,Topical_ocular_hypotensive_eye_drops,N/A,N/A,N
NCT00000134,Phase 3,HIV_Infections Acquired_Immunodeficiency_Syndrome Cytomegalovirus_Retinitis ,Ganciclovir Foscarnet ,N/A,N/A,N
NCT00000392,Phase 2,HIV_Infections Cognition_Disorders ,Peptide_T Placebo ,N/A,Immune_system_disorders ,Y
NCT00000479,Phase 3,Cardiovascular_Diseases Cerebrovascular_Disorders Coronary_Disease Heart_Diseases Myocardial_Infarction Myocardial_Ischemia Vascular_Diseases ,Aspirin Vitamin_E Placebo ,N/A,N/A,N
NCT00000575,Phase 3,Asthma Lung_Diseases ,Placebo Nedocromil Budesonide ,N/A,N/A,N
NCT00001213,Phase 2,Cystinosis,Cysteamine,N/A,N/A,N
NCT00001566,Phase 2,Ewing's_Sarcoma Rhabdomyosarcoma ,therapeutic_autologous_dendritic_cells indinavir_sulfate peripheral_blood_stem_cell_transplantation ,N/A,N/A,N
NCT00001586,Phase 2,Chronic_Lymphocytic_Leukemia,Rituximab Fludarabine_phosphate Leukemic_or_stroma_cells ,N/A,N/A,N
NCT00001596,Phase 2,Albinism Inborn_Errors_of_Metabolism Oculocutaneous_Albinism Platelet_Storage_Pool_Deficiency Pulmonary_Fibrosis ,Pirfenidone Placebo ,N/A,N/A,N
NCT00001656,Phase 4,Childhood_Schizophrenia Psychotic_Disorder Schizophrenia ,Olanzapine Clozapine ,N/A,N/A,N
NCT00001703,Phase 2,Renal_Cell_Carcinoma,incomplete_Freund's_adjuvant von_Hippel-Lindau_peptide_vaccine ,N/A,N/A,N
NCT00001723,Phase 2,Diabetes_Mellitus Hypertension Metabolic_Disease Obesity Sleep_Apnea_Syndrome ,Orlistat Placebo ,N/A,N/A,N
NCT00001832,Phase 2,Melanoma Neoplasm_Metastasis ,gp100:209-217_(210M) Montanide_ISA-51 IL-2 MART-1:26-35(27L) Abl_cells Fludarabine Cyclophosphamide GCSF_(Growth_colony_stimulating_factor) Apheresis ,N/A,N/A,N
NCT00001941,Phase 1/Phase 2,HTLV-I_Infection T_Cell_Leukemia ,daclizumab,N/A,N/A,N
