degree	source	target	source_dept	target_dept	type
41	Elson P	Shepard D	Developmental Therapeutics	Aging-Cancer Research	undirected
21	Garcia J	Shepard D	GU Malignancies	Aging-Cancer Research	undirected
20	Dreicer R	Shepard D	GU Malignancies	Aging-Cancer Research	undirected
17	Lazarus H	Berger N	Hematopoietic Disorders	Aging-Cancer Research	undirected
16	Schluchter M	Owusu C	Developmental Therapeutics	Aging-Cancer Research	undirected
16	Schluchter M	Berger N	Developmental Therapeutics	Aging-Cancer Research	undirected
16	Elston R	Nock N	Cancer Genetics	Aging-Cancer Research	undirected
15	Berger N	Chak A	Aging-Cancer Research	Cancer Genetics	undirected
15	Berger N	Lazarus H	Aging-Cancer Research	Hematopoietic Disorders	undirected
15	Berger N	Nock N	Aging-Cancer Research	Aging-Cancer Research	undirected
15	Berger N	Schluchter M	Aging-Cancer Research	Developmental Therapeutics	undirected
15	Berger N	O'toole E	Aging-Cancer Research	Aging-Cancer Research	undirected
15	Berger N	Reizes O	Aging-Cancer Research	Aging-Cancer Research	undirected
15	Berger N	Koroukian S	Aging-Cancer Research	Cancer Prevention, Control and Population Research	undirected
15	Berger N	Li L	Aging-Cancer Research	Cancer Prevention, Control and Population Research	undirected
15	Berger N	Rich J	Aging-Cancer Research	Cancer Cell Signaling	undirected
15	Berger N	Owusu C	Aging-Cancer Research	Aging-Cancer Research	undirected
15	Bokar J	Mazanec P	Developmental Therapeutics	Aging-Cancer Research	undirected
14	Lee Z	Brunengraber H	Cancer Imaging	Aging-Cancer Research	undirected
11	Koroukian S	Owusu C	Cancer Prevention, Control and Population Research	Aging-Cancer Research	undirected
11	Koroukian S	Berger N	Cancer Prevention, Control and Population Research	Aging-Cancer Research	undirected
10	Rich J	Reizes O	Cancer Cell Signaling	Aging-Cancer Research	undirected
10	Rich J	Berger N	Cancer Cell Signaling	Aging-Cancer Research	undirected
10	Chak A	Berger N	Cancer Genetics	Aging-Cancer Research	undirected
9	Zyzanski S	Rose J	Cancer Prevention, Control and Population Research	Aging-Cancer Research	undirected
8	O'toole E	Deimling G	Aging-Cancer Research	Aging-Cancer Research	undirected
8	O'toole E	Daly B	Aging-Cancer Research	Aging-Cancer Research	undirected
8	O'toole E	Step M	Aging-Cancer Research	Cancer Prevention, Control and Population Research	undirected
8	O'toole E	Berger N	Aging-Cancer Research	Aging-Cancer Research	undirected
8	O'toole E	Bowman K	Aging-Cancer Research	Aging-Cancer Research	undirected
8	O'toole E	Rose J	Aging-Cancer Research	Aging-Cancer Research	undirected
8	Li L	Nock N	Cancer Prevention, Control and Population Research	Aging-Cancer Research	undirected
8	Li L	Berger N	Cancer Prevention, Control and Population Research	Aging-Cancer Research	undirected
7	Wilson D	Hanson R	Cancer Imaging	Aging-Cancer Research	undirected
7	Keri R	Reizes O	Cancer Cell Signaling	Aging-Cancer Research	undirected
7	Rose J	Zyzanski S	Aging-Cancer Research	Cancer Prevention, Control and Population Research	undirected
7	Rose J	Deimling G	Aging-Cancer Research	Aging-Cancer Research	undirected
7	Rose J	Albert J	Aging-Cancer Research	NPA (core)	undirected
7	Rose J	Step M	Aging-Cancer Research	Cancer Prevention, Control and Population Research	undirected
7	Rose J	O'toole E	Aging-Cancer Research	Aging-Cancer Research	undirected
7	Rose J	Townsend A	Aging-Cancer Research	Aging-Cancer Research	undirected
7	Rose J	Bowman K	Aging-Cancer Research	Aging-Cancer Research	undirected
6	Daly B	Townsend A	Aging-Cancer Research	Aging-Cancer Research	undirected
