degree	source	target	source_dept	target_dept	type
36	Fu P	Levine A	Developmental Therapeutics	Cancer Cell Signaling	undirected
36	Fu P	Mccrae K	Developmental Therapeutics	Cancer Cell Signaling	undirected
23	Klein E	Manor D	GU Malignancies	Cancer Cell Signaling	undirected
20	Flask C	Schiemann W	Cancer Imaging	Cancer Cell Signaling	undirected
20	Flask C	Jain M	Cancer Imaging	Cancer Cell Signaling	undirected
20	Flask C	Miller R	Cancer Imaging	Cancer Cell Signaling	undirected
17	Willis J	Kao H	Cancer Genetics	Cancer Cell Signaling	undirected
17	Willis J	Gerken T	Cancer Genetics	Cancer Cell Signaling	undirected
17	Lazarus H	Mccrae K	Hematopoietic Disorders	Cancer Cell Signaling	undirected
17	Lazarus H	Schmaier A	Hematopoietic Disorders	Cancer Cell Signaling	undirected
16	Kunos C	Abdul karim F	Developmental Therapeutics	Cancer Cell Signaling	undirected
16	Vogelbaum M	Gladson C	Developmental Therapeutics	Cancer Cell Signaling	undirected
16	Markowitz S	Gerken T	Cancer Genetics	Cancer Cell Signaling	undirected
16	Elston R	Buck M	Cancer Genetics	Cancer Cell Signaling	undirected
15	Chance M	Hamilton T	Cancer Genetics	Cancer Cell Signaling	undirected
15	Chance M	Egelhoff T	Cancer Genetics	Cancer Cell Signaling	undirected
15	Chance M	Stark G	Cancer Genetics	Cancer Cell Signaling	undirected
15	Chance M	Misra S	Cancer Genetics	Cancer Cell Signaling	undirected
15	Chance M	Li X	Cancer Genetics	Cancer Cell Signaling	undirected
15	Berger N	Rich J	Aging-Cancer Research	Cancer Cell Signaling	undirected
15	Stark G	Lee J	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Lathia J	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Jackson M	Cancer Cell Signaling	Cancer Genetics	undirected
15	Stark G	Rich J	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Hambardzumyan D	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Hjelmeland A	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Hamilton T	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Ransohoff R	Cancer Cell Signaling	Hematopoietic Disorders	undirected
15	Stark G	Li X	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Bao S	Cancer Cell Signaling	Cell Death Regulation	undirected
15	Stark G	Chance M	Cancer Cell Signaling	Cancer Genetics	undirected
15	Stark G	Sen G	Cancer Cell Signaling	Cancer Cell Signaling	undirected
15	Stark G	Sloan A	Cancer Cell Signaling	Developmental Therapeutics	undirected
15	Stark G	Jacobberger J	Cancer Cell Signaling	Cancer Imaging	undirected
15	Barnholtz sloan J	Gerken T	Cancer Genetics	Cancer Cell Signaling	undirected
15	Barnholtz sloan J	Manor D	Cancer Genetics	Cancer Cell Signaling	undirected
14	Sloan A	Lee J	Developmental Therapeutics	Cancer Cell Signaling	undirected
14	Sloan A	Hambardzumyan D	Developmental Therapeutics	Cancer Cell Signaling	undirected
14	Sloan A	Lathia J	Developmental Therapeutics	Cancer Cell Signaling	undirected
14	Sloan A	Miller R	Developmental Therapeutics	Cancer Cell Signaling	undirected
14	Sloan A	Hjelmeland A	Developmental Therapeutics	Cancer Cell Signaling	undirected
14	Sloan A	Brady kalnay S	Developmental Therapeutics	Cancer Cell Signaling	undirected
14	Sloan A	Rich J	Developmental Therapeutics	Cancer Cell Signaling	undirected
14	Sloan A	Stark G	Developmental Therapeutics	Cancer Cell Signaling	undirected
13	Wiesner G	Gerken T	Cancer Genetics	Cancer Cell Signaling	undirected
