degree	source	target	source_dept	target_dept	type
36	Fu P	Lederman M	Developmental Therapeutics	Cancer Prevention, Control and Population Research	undirected
36	Fu P	Koroukian S	Developmental Therapeutics	Cancer Prevention, Control and Population Research	undirected
23	Klein E	Wells B	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
23	Klein E	Kattan M	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
16	Schluchter M	Koroukian S	Developmental Therapeutics	Cancer Prevention, Control and Population Research	undirected
16	Schluchter M	Borawski E	Developmental Therapeutics	Cancer Prevention, Control and Population Research	undirected
16	Elston R	Li L	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
15	Chance M	Weinberg A	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
15	Berger N	Koroukian S	Aging-Cancer Research	Cancer Prevention, Control and Population Research	undirected
15	Berger N	Li L	Aging-Cancer Research	Cancer Prevention, Control and Population Research	undirected
15	Meyerson H	Lederman M	Hematopoietic Disorders	Cancer Prevention, Control and Population Research	undirected
15	Barnholtz sloan J	Bordeaux J	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
15	Barnholtz sloan J	Meropol N	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
13	Wiesner G	Zyzanski S	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
13	Wiesner G	Werner J	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
13	Wiesner G	Marshall P	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
13	Wiesner G	Acheson L	Cancer Genetics	Cancer Prevention, Control and Population Research	undirected
13	Budd G	Moore H	Developmental Therapeutics	Cancer Prevention, Control and Population Research	undirected
13	Cooper K	Bordeaux J	Hematopoietic Disorders	Cancer Prevention, Control and Population Research	undirected
13	Stephenson A	Wells B	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
13	Stephenson A	Kattan M	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
11	Silverman R	Weinberg A	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
11	Silverman R	Lederman M	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
11	Koroukian S	Owusu C	Cancer Prevention, Control and Population Research	Aging-Cancer Research	undirected
11	Koroukian S	Cherullo E	Cancer Prevention, Control and Population Research	GU Malignancies	undirected
11	Koroukian S	Schluchter M	Cancer Prevention, Control and Population Research	Developmental Therapeutics	undirected
11	Koroukian S	Cooper G	Cancer Prevention, Control and Population Research	Cancer Prevention, Control and Population Research	undirected
11	Koroukian S	Gupta S	Cancer Prevention, Control and Population Research	GU Malignancies	undirected
11	Koroukian S	Fu P	Cancer Prevention, Control and Population Research	Developmental Therapeutics	undirected
11	Koroukian S	Berger N	Cancer Prevention, Control and Population Research	Aging-Cancer Research	undirected
10	Weinberg A	Jin G	Cancer Prevention, Control and Population Research	Cell Death Regulation	undirected
