degree	source	target	source_dept	target_dept	type
36	Dowlati A	Houghton J	Developmental Therapeutics	Cell Death Regulation	undirected
36	Fu P	Oleinick N	Developmental Therapeutics	Cell Death Regulation	undirected
29	Gerson S	Lindner D	Hematopoietic Disorders	Cell Death Regulation	undirected
25	Rini B	Lindner D	GU Malignancies	Cell Death Regulation	undirected
23	Maciejewski J	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
23	Maciejewski J	Houghton J	Hematopoietic Disorders	Cell Death Regulation	undirected
23	Maciejewski J	Almasan A	Hematopoietic Disorders	Cell Death Regulation	undirected
21	Borden E	Lindner D	Developmental Therapeutics	Cell Death Regulation	undirected
20	Kalaycio M	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
20	Kalaycio M	Houghton J	Hematopoietic Disorders	Cell Death Regulation	undirected
20	Kalaycio M	Almasan A	Hematopoietic Disorders	Cell Death Regulation	undirected
16	Kunos C	Oleinick N	Developmental Therapeutics	Cell Death Regulation	undirected
16	Hsi E	Almasan A	Hematopoietic Disorders	Cell Death Regulation	undirected
16	Copelan E	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
16	Triozzi P	Lindner D	Developmental Therapeutics	Cell Death Regulation	undirected
16	Schluchter M	Oleinick N	Developmental Therapeutics	Cell Death Regulation	undirected
15	Chance M	Letterio J	Cancer Genetics	Cell Death Regulation	undirected
15	Stark G	Bao S	Cancer Cell Signaling	Cell Death Regulation	undirected
15	Sobecks R	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
14	Lee Z	Luo G	Cancer Imaging	Cell Death Regulation	undirected
14	Sloan A	Bao S	Developmental Therapeutics	Cell Death Regulation	undirected
13	Radivoyevitch T	Oleinick N	Cancer Imaging	Cell Death Regulation	undirected
13	Cooper K	Lam M	Hematopoietic Disorders	Cell Death Regulation	undirected
13	Cooper K	Kenney M	Hematopoietic Disorders	Cell Death Regulation	undirected
13	Cooper K	Oleinick N	Hematopoietic Disorders	Cell Death Regulation	undirected
13	Cooper K	Matsuyama S	Hematopoietic Disorders	Cell Death Regulation	undirected
13	Basilion J	Kenney M	Cancer Imaging	Cell Death Regulation	undirected
13	Oleinick N	Baron E	Cell Death Regulation	Developmental Therapeutics	undirected
13	Oleinick N	Lam M	Cell Death Regulation	Cell Death Regulation	undirected
13	Oleinick N	Kenney M	Cell Death Regulation	Cell Death Regulation	undirected
13	Oleinick N	Burda C	Cell Death Regulation	Developmental Therapeutics	undirected
13	Oleinick N	Lavertu P	Cell Death Regulation	Developmental Therapeutics	undirected
13	Oleinick N	Kunos C	Cell Death Regulation	Developmental Therapeutics	undirected
13	Oleinick N	Cooper K	Cell Death Regulation	Hematopoietic Disorders	undirected
13	Oleinick N	Fu P	Cell Death Regulation	Developmental Therapeutics	undirected
13	Oleinick N	Schluchter M	Cell Death Regulation	Developmental Therapeutics	undirected
13	Oleinick N	Radivoyevitch T	Cell Death Regulation	Cancer Imaging	undirected
13	Oleinick N	Pink J	Cell Death Regulation	Developmental Therapeutics	undirected
12	Sweetenham J	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
12	Saunthararajah Y	Lindner D	Hematopoietic Disorders	Cell Death Regulation	undirected
12	Bolwell B	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
12	Pohlman B	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
11	Kaplan D	Sy M	Hematopoietic Disorders	Cell Death Regulation	undirected
11	Mccrae K	Luo G	Cancer Cell Signaling	Cell Death Regulation	undirected
11	Liu L	Lindner D	Developmental Therapeutics	Cell Death Regulation	undirected
11	Pink J	Oleinick N	Developmental Therapeutics	Cell Death Regulation	undirected
11	Eng C	Houghton J	Cancer Genetics	Cell Death Regulation	undirected
11	Eng C	Tanaka H	Cancer Genetics	Cell Death Regulation	undirected
10	Dean R	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
10	Weinberg A	Jin G	Cancer Prevention, Control and Population Research	Cell Death Regulation	undirected
10	Lindner D	Saunthararajah Y	Cell Death Regulation	Hematopoietic Disorders	undirected
10	Lindner D	Gerson S	Cell Death Regulation	Hematopoietic Disorders	undirected
10	Lindner D	Borden E	Cell Death Regulation	Developmental Therapeutics	undirected
10	Lindner D	Yi T	Cell Death Regulation	Developmental Therapeutics	undirected
10	Lindner D	Liu L	Cell Death Regulation	Developmental Therapeutics	undirected
10	Lindner D	Apte S	Cell Death Regulation	Cancer Cell Signaling	undirected
10	Lindner D	Rini B	Cell Death Regulation	GU Malignancies	undirected
10	Lindner D	Triozzi P	Cell Death Regulation	Developmental Therapeutics	undirected
10	Rich J	Bao S	Cancer Cell Signaling	Cell Death Regulation	undirected
9	Lee J	Bao S	Cancer Cell Signaling	Cell Death Regulation	undirected
9	Wang B	Luo G	GU Malignancies	Cell Death Regulation	undirected
9	Macklis R	Copelan E	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Macklis R	Sweetenham J	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Macklis R	Maciejewski J	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Macklis R	Bolwell B	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Macklis R	Pohlman B	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Macklis R	Kalaycio M	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Macklis R	Sobecks R	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Macklis R	Almasan A	Cell Death Regulation	Cell Death Regulation	undirected
9	Macklis R	Dean R	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Lathia J	Bao S	Cancer Cell Signaling	Cell Death Regulation	undirected
9	Danielpour D	Matsuyama S	GU Malignancies	Cell Death Regulation	undirected
9	Kenney M	Oleinick N	Cell Death Regulation	Cell Death Regulation	undirected
9	Kenney M	Burda C	Cell Death Regulation	Developmental Therapeutics	undirected
9	Kenney M	Cooper K	Cell Death Regulation	Hematopoietic Disorders	undirected
9	Kenney M	Basilion J	Cell Death Regulation	Cancer Imaging	undirected
9	Kenney M	Baron E	Cell Death Regulation	Developmental Therapeutics	undirected
9	Kenney M	Lam M	Cell Death Regulation	Cell Death Regulation	undirected
9	Kenney M	Broome A	Cell Death Regulation	Cancer Imaging	undirected
8	Lavertu P	Oleinick N	Developmental Therapeutics	Cell Death Regulation	undirected
8	Koon H	Jin G	Cancer Imaging	Cell Death Regulation	undirected
8	Hjelmeland A	Bao S	Cancer Cell Signaling	Cell Death Regulation	undirected
7	Lam M	Cooper K	Cell Death Regulation	Hematopoietic Disorders	undirected
7	Lam M	Oleinick N	Cell Death Regulation	Cell Death Regulation	undirected
7	Lam M	Kao H	Cell Death Regulation	Cancer Cell Signaling	undirected
