degree	source	target	source_dept	target_dept	type
41	Elson P	Klein E	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Rose P	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Maciejewski J	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Cooney M	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Weil R	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Pohlman B	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Suh J	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Hansel D	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Sekeres M	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Dreicer R	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Stephenson A	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Budd G	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Triozzi P	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Copelan E	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Ganapathi R	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Finke J	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Shepard D	Developmental Therapeutics	Aging-Cancer Research	undirected
41	Elson P	Hsi E	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Garcia J	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Kalaycio M	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Peereboom D	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Tiu R	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Heston W	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Yi T	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Dowlati A	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Gilligan T	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Campbell S	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Ahluwalia M	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Advani A	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Vogelbaum M	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Rini B	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Belinson J	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Magi galluzzi C	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Bokar J	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Chao S	Developmental Therapeutics	Cancer Imaging	undirected
41	Elson P	Barnett G	Developmental Therapeutics	Developmental Therapeutics	undirected
41	Elson P	Sobecks R	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Borden E	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Cooper B	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Dowlati A	Lee Z	Developmental Therapeutics	Cancer Imaging	undirected
36	Dowlati A	Wang Y	Developmental Therapeutics	Cancer Imaging	undirected
36	Dowlati A	Houghton J	Developmental Therapeutics	Cell Death Regulation	undirected
36	Dowlati A	Cooney M	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Budd G	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Gerson S	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Dowlati A	Waggoner S	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Liu L	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Nock C	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Schluchter M	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Hoppel C	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Krishnamurthi S	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Triozzi P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Lavertu P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Borden E	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Jacobberger J	Developmental Therapeutics	Cancer Imaging	undirected
36	Dowlati A	Fu P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Kunos C	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Dreicer R	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Garcia J	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Bokar J	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Elson P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Flask C	Developmental Therapeutics	Cancer Imaging	undirected
36	Dowlati A	Rini B	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Pink J	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Savvides P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Dowlati A	Ma P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Markowitz S	Developmental Therapeutics	Cancer Genetics	undirected
36	Fu P	Savvides P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Koon H	Developmental Therapeutics	Cancer Imaging	undirected
36	Fu P	Baron E	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Levine A	Developmental Therapeutics	Cancer Cell Signaling	undirected
36	Fu P	Gupta S	Developmental Therapeutics	GU Malignancies	undirected
36	Fu P	Leeming R	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Pink J	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Mccrae K	Developmental Therapeutics	Cancer Cell Signaling	undirected
36	Fu P	Lederman M	Developmental Therapeutics	Cancer Prevention, Control and Population Research	undirected
36	Fu P	Dowlati A	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Flask C	Developmental Therapeutics	Cancer Imaging	undirected
36	Fu P	Leidner R	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Koroukian S	Developmental Therapeutics	Cancer Prevention, Control and Population Research	undirected
36	Fu P	Dawson D	Developmental Therapeutics	Cancer Genetics	undirected
36	Fu P	Lazarus H	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Ellis R	Developmental Therapeutics	Cancer Imaging	undirected
36	Fu P	Meyerson H	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Oleinick N	Developmental Therapeutics	Cell Death Regulation	undirected
36	Fu P	Lavertu P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Bokar J	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Kaplan D	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Hoppel C	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Gerson S	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Silverman P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Ma P	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Maclennan G	Developmental Therapeutics	GU Malignancies	undirected
36	Fu P	Cooper K	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Cooper B	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Baar J	Developmental Therapeutics	Developmental Therapeutics	undirected
36	Fu P	Cooney M	Developmental Therapeutics	GU Malignancies	undirected
29	Gerson S	Dowlati A	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Yi T	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Wald D	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Borden E	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Liu L	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Ma P	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Arts E	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Fu P	Hematopoietic Disorders	Developmental Therapeutics	undirected
25	Rini B	Ganapathi R	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Vogelbaum M	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Borden E	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Dowlati A	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Elson P	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Bokar J	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Budd G	GU Malignancies	Developmental Therapeutics	undirected
23	Klein E	Elson P	GU Malignancies	Developmental Therapeutics	undirected
23	Klein E	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
23	Maciejewski J	Elson P	Hematopoietic Disorders	Developmental Therapeutics	undirected
23	Maciejewski J	Yang Y	Hematopoietic Disorders	Developmental Therapeutics	undirected
22	Cooney M	Dowlati A	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Elson P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Krishnamurthi S	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Budd G	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Nock C	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Bokar J	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Savvides P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Ganapathi R	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Borden E	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Lavertu P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Fu P	GU Malignancies	Developmental Therapeutics	undirected
21	Garcia J	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
21	Garcia J	Bokar J	GU Malignancies	Developmental Therapeutics	undirected
21	Garcia J	Vogelbaum M	GU Malignancies	Developmental Therapeutics	undirected
21	Garcia J	Dowlati A	GU Malignancies	Developmental Therapeutics	undirected
