degree	source	target	source_dept	target_dept	type
41	Elson P	Klein E	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Cooney M	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Hansel D	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Dreicer R	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Stephenson A	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Finke J	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Garcia J	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Heston W	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Gilligan T	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Campbell S	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Rini B	Developmental Therapeutics	GU Malignancies	undirected
41	Elson P	Magi galluzzi C	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Cooney M	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Dreicer R	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Garcia J	Developmental Therapeutics	GU Malignancies	undirected
36	Dowlati A	Rini B	Developmental Therapeutics	GU Malignancies	undirected
36	Fu P	Gupta S	Developmental Therapeutics	GU Malignancies	undirected
36	Fu P	Maclennan G	Developmental Therapeutics	GU Malignancies	undirected
36	Fu P	Cooney M	Developmental Therapeutics	GU Malignancies	undirected
25	Rini B	Ganapathi R	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Klein E	GU Malignancies	GU Malignancies	undirected
25	Rini B	Vogelbaum M	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Borden E	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Campbell S	GU Malignancies	GU Malignancies	undirected
25	Rini B	Cooney M	GU Malignancies	GU Malignancies	undirected
25	Rini B	Finke J	GU Malignancies	GU Malignancies	undirected
25	Rini B	Saunthararajah Y	GU Malignancies	Hematopoietic Disorders	undirected
25	Rini B	Eng C	GU Malignancies	Cancer Genetics	undirected
25	Rini B	Gilligan T	GU Malignancies	GU Malignancies	undirected
25	Rini B	Hansel D	GU Malignancies	GU Malignancies	undirected
25	Rini B	Garcia J	GU Malignancies	GU Malignancies	undirected
25	Rini B	Dowlati A	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Elson P	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Bokar J	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Lindner D	GU Malignancies	Cell Death Regulation	undirected
25	Rini B	Budd G	GU Malignancies	Developmental Therapeutics	undirected
25	Rini B	Tannenbaum C	GU Malignancies	GU Malignancies	undirected
25	Rini B	Dreicer R	GU Malignancies	GU Malignancies	undirected
25	Rini B	Stephenson A	GU Malignancies	GU Malignancies	undirected
23	Klein E	Elson P	GU Malignancies	Developmental Therapeutics	undirected
23	Klein E	Rini B	GU Malignancies	GU Malignancies	undirected
23	Klein E	Magi galluzzi C	GU Malignancies	GU Malignancies	undirected
23	Klein E	Campbell S	GU Malignancies	GU Malignancies	undirected
23	Klein E	Byzova T	GU Malignancies	GU Malignancies	undirected
23	Klein E	Manor D	GU Malignancies	Cancer Cell Signaling	undirected
23	Klein E	Dreicer R	GU Malignancies	GU Malignancies	undirected
23	Klein E	Garcia J	GU Malignancies	GU Malignancies	undirected
23	Klein E	Wells B	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
23	Klein E	Ciezki J	GU Malignancies	GU Malignancies	undirected
23	Klein E	Gilligan T	GU Malignancies	GU Malignancies	undirected
23	Klein E	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
23	Klein E	Stephenson A	GU Malignancies	GU Malignancies	undirected
23	Klein E	Hansel D	GU Malignancies	GU Malignancies	undirected
23	Klein E	Silverman R	GU Malignancies	GU Malignancies	undirected
23	Klein E	Danielpour D	GU Malignancies	GU Malignancies	undirected
23	Klein E	Barnholtz sloan J	GU Malignancies	Cancer Genetics	undirected
23	Klein E	Chao S	GU Malignancies	Cancer Imaging	undirected
23	Klein E	Kattan M	GU Malignancies	Cancer Prevention, Control and Population Research	undirected
22	Cooney M	Ponsky L	GU Malignancies	GU Malignancies	undirected
22	Cooney M	Dowlati A	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Elson P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Krishnamurthi S	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Budd G	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Rini B	GU Malignancies	GU Malignancies	undirected
22	Cooney M	Dreicer R	GU Malignancies	GU Malignancies	undirected
22	Cooney M	Nock C	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Bokar J	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Maclennan G	GU Malignancies	GU Malignancies	undirected
22	Cooney M	Garcia J	GU Malignancies	GU Malignancies	undirected
22	Cooney M	Savvides P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Cooper B	GU Malignancies	Hematopoietic Disorders	undirected
22	Cooney M	Ganapathi R	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Borden E	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Lavertu P	GU Malignancies	Developmental Therapeutics	undirected
22	Cooney M	Fu P	GU Malignancies	Developmental Therapeutics	undirected
21	Garcia J	Campbell S	GU Malignancies	GU Malignancies	undirected
21	Garcia J	Stephenson A	GU Malignancies	GU Malignancies	undirected
21	Garcia J	Triozzi P	GU Malignancies	Developmental Therapeutics	undirected
21	Garcia J	Dreicer R	GU Malignancies	GU Malignancies	undirected
21	Garcia J	Bokar J	GU Malignancies	Developmental Therapeutics	undirected
21	Garcia J	Shepard D	GU Malignancies	Aging-Cancer Research	undirected
