degree	source	target	source_dept	target_dept	type
41	Elson P	Maciejewski J	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Pohlman B	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Sekeres M	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Copelan E	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Hsi E	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Kalaycio M	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Tiu R	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Advani A	Developmental Therapeutics	Hematopoietic Disorders	undirected
41	Elson P	Sobecks R	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Dowlati A	Cooper B	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Dowlati A	Gerson S	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Lazarus H	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Meyerson H	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Kaplan D	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Gerson S	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Cooper K	Developmental Therapeutics	Hematopoietic Disorders	undirected
36	Fu P	Cooper B	Developmental Therapeutics	Hematopoietic Disorders	undirected
29	Gerson S	Meyerson H	Hematopoietic Disorders	Hematopoietic Disorders	undirected
29	Gerson S	Dowlati A	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Qu C	Hematopoietic Disorders	Hematopoietic Disorders	undirected
29	Gerson S	Yi T	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Lindner D	Hematopoietic Disorders	Cell Death Regulation	undirected
29	Gerson S	Advani A	Hematopoietic Disorders	Hematopoietic Disorders	undirected
29	Gerson S	Wald D	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Borden E	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Wang Y	Hematopoietic Disorders	Cancer Imaging	undirected
29	Gerson S	Lee Z	Hematopoietic Disorders	Cancer Imaging	undirected
29	Gerson S	Cooper B	Hematopoietic Disorders	Hematopoietic Disorders	undirected
29	Gerson S	Liu L	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Wilson D	Hematopoietic Disorders	Cancer Imaging	undirected
29	Gerson S	Kaplan D	Hematopoietic Disorders	Hematopoietic Disorders	undirected
29	Gerson S	Ma P	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Flask C	Hematopoietic Disorders	Cancer Imaging	undirected
29	Gerson S	Arts E	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Fu P	Hematopoietic Disorders	Developmental Therapeutics	undirected
29	Gerson S	Lazarus H	Hematopoietic Disorders	Hematopoietic Disorders	undirected
29	Gerson S	Zhou L	Hematopoietic Disorders	Hematopoietic Disorders	undirected
25	Rini B	Saunthararajah Y	GU Malignancies	Hematopoietic Disorders	undirected
23	Maciejewski J	Sweetenham J	Hematopoietic Disorders	Hematopoietic Disorders	undirected
23	Maciejewski J	Elson P	Hematopoietic Disorders	Developmental Therapeutics	undirected
23	Maciejewski J	Sobecks R	Hematopoietic Disorders	Hematopoietic Disorders	undirected
23	Maciejewski J	Kalaycio M	Hematopoietic Disorders	Hematopoietic Disorders	undirected
23	Maciejewski J	Copelan E	Hematopoietic Disorders	Hematopoietic Disorders	undirected
23	Maciejewski J	Macklis R	Hematopoietic Disorders	Cell Death Regulation	undirected
