Confidence,Nodes,Id,Frequency (arms#),Category
0.515513126,Haematoma,Haematoma,419,Vascular disorders
0.504780115,Cardio-respiratory_arrest,Cardio-respiratory_arrest,523,Cardiac disorders
0.504587156,Multi-organ_failure,Multi-organ_failure,545,General disorders
0.5,Cerebral_haemorrhage,Cerebral_haemorrhage,490,Nervous system disorders
0.49795082,Ischaemic_stroke,Ischaemic_stroke,488,Nervous system disorders
0.497185741,Pulmonary_oedema,Pulmonary_oedema,533,"Respiratory, thoracic and mediastinal disorders"
0.496031746,Arrhythmia,Arrhythmia,504,Cardiac disorders
0.492341357,Erysipelas,Erysipelas,457,Infections and infestations
0.492094862,Atrial_flutter,Atrial_flutter,506,Cardiac disorders
0.490066225,Femoral_neck_fracture,Femoral_neck_fracture,453,"Injury, poisoning and procedural complications"
0.488721805,Lung_infection,Lung_infection,532,Infections and infestations
0.488479263,Haematuria,Haematuria,651,Renal and urinary disorders
0.487551867,Hypertensive_crisis,Hypertensive_crisis,482,Vascular disorders
0.482871126,Haemoptysis,Haemoptysis,613,"Respiratory, thoracic and mediastinal disorders"
0.481967213,Epistaxis,Epistaxis,610,"Respiratory, thoracic and mediastinal disorders"
0.480263158,Subdural_haematoma,Subdural_haematoma,456,"Injury, poisoning and procedural complications"
0.477777778,Respiratory_tract_infection,Respiratory_tract_infection,540,Infections and infestations
0.475378788,Cataract,Cataract,528,Eye disorders
0.474849095,Rectal_haemorrhage,Rectal_haemorrhage,497,Gastrointestinal disorders
0.4743083,Hyperkalaemia,Hyperkalaemia,506,Metabolism and nutrition disorders
