Confidence,Source,Source Frequency (arms#),Source Category,Target,Target Category
0.515513126,Haematoma,419,Vascular disorders,Death,
0.504780115,Cardio-respiratory_arrest,523,Cardiac disorders,Death,
0.504587156,Multi-organ_failure,545,General disorders,Death,
0.5,Cerebral_haemorrhage,490,Nervous system disorders,Death,
0.49795082,Ischaemic_stroke,488,Nervous system disorders,Death,
0.497185741,Pulmonary_oedema,533,"Respiratory, thoracic and mediastinal disorders",Death,
0.496031746,Arrhythmia,504,Cardiac disorders,Death,
0.492341357,Erysipelas,457,Infections and infestations,Death,
0.492094862,Atrial_flutter,506,Cardiac disorders,Death,
0.490066225,Femoral_neck_fracture,453,"Injury, poisoning and procedural complications",Death,
0.331677019,Septic_shock,805,Infections and infestations,Multi-organ_failure,General disorders
0.285714286,Septic_shock,805,Infections and infestations,Cardio-respiratory_arrest,Cardiac disorders
0.280394304,Cardiac_arrest,913,Cardiac disorders,Cardio-respiratory_arrest,Cardiac disorders
0.279299014,Cardiac_arrest,913,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.271912351,Cardiac_failure,1004,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.267080745,Septic_shock,805,Infections and infestations,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.265060241,Cardiac_arrest,913,Cardiac disorders,Multi-organ_failure,General disorders
0.26286966,Cardiac_arrest,913,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.26121372,Cardiac_failure_congestive,1137,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.260696517,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.257711443,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders,Cardio-respiratory_arrest,Cardiac disorders
0.256716418,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders,Multi-organ_failure,General disorders
0.249003984,Cardiac_failure,1004,Cardiac disorders,Multi-organ_failure,General disorders
0.244588745,Transient_ischaemic_attack,924,Vascular disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.239413681,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Multi-organ_failure,General disorders
