Confidence,Nodes,Id,Frequency (arms#),Category
0.515513126,Haematoma,Haematoma,419,Vascular disorders
0.504780115,Cardio-respiratory_arrest,Cardio-respiratory_arrest,523,Cardiac disorders
0.504587156,Multi-organ_failure,Multi-organ_failure,545,General disorders
0.5,Cerebral_haemorrhage,Cerebral_haemorrhage,490,Nervous system disorders
0.49795082,Ischaemic_stroke,Ischaemic_stroke,488,Nervous system disorders
0.497185741,Pulmonary_oedema,Pulmonary_oedema,533,"Respiratory, thoracic and mediastinal disorders"
0.496031746,Arrhythmia,Arrhythmia,504,Cardiac disorders
0.492341357,Erysipelas,Erysipelas,457,Infections and infestations
0.492094862,Atrial_flutter,Atrial_flutter,506,Cardiac disorders
0.490066225,Femoral_neck_fracture,Femoral_neck_fracture,453,"Injury, poisoning and procedural complications"
0.331677019,Septic_shock,Septic_shock,805,Infections and infestations
0.285714286,Septic_shock,Septic_shock,805,Infections and infestations
0.280394304,Cardiac_arrest,Cardiac_arrest,913,Cardiac disorders
0.279299014,Cardiac_arrest,Cardiac_arrest,913,Cardiac disorders
0.271912351,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.267080745,Septic_shock,Septic_shock,805,Infections and infestations
0.265060241,Cardiac_arrest,Cardiac_arrest,913,Cardiac disorders
0.26286966,Cardiac_arrest,Cardiac_arrest,913,Cardiac disorders
0.26121372,Cardiac_failure_congestive,Cardiac_failure_congestive,1137,Cardiac disorders
0.260696517,Gastrointestinal_haemorrhage,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders
0.257711443,Gastrointestinal_haemorrhage,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders
0.256716418,Gastrointestinal_haemorrhage,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders
0.249003984,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.244588745,Transient_ischaemic_attack,Transient_ischaemic_attack,924,Vascular disorders
0.239413681,Respiratory_failure,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders"
0.239413681,Renal_failure,Renal_failure,1228,Renal and urinary disorders
0.23880597,Gastrointestinal_haemorrhage,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders
0.237467018,Cardiac_failure_congestive,Cardiac_failure_congestive,1137,Cardiac disorders
0.23681592,Gastrointestinal_haemorrhage,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders
0.236156352,Respiratory_failure,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders"
0.235930736,Transient_ischaemic_attack,Transient_ischaemic_attack,924,Vascular disorders
0.235059761,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.235059761,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.233333333,Asthenia,Asthenia,1080,General disorders
0.232683983,Transient_ischaemic_attack,Transient_ischaemic_attack,924,Vascular disorders
0.232071713,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.231270358,Respiratory_failure,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders"
0.231106243,Cardiac_arrest,Cardiac_arrest,913,Cardiac disorders
0.231106243,Cardiac_arrest,Cardiac_arrest,913,Cardiac disorders
0.23050557,Acute_myocardial_infarction,Acute_myocardial_infarction,1167,Cardiac disorders
0.230079681,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.228855721,Gastrointestinal_haemorrhage,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders
0.228827362,Renal_failure,Renal_failure,1228,Renal and urinary disorders
0.225806452,Pleural_effusion,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders"
0.221296296,Asthenia,Asthenia,1080,General disorders
0.220558203,Renal_failure_acute,Renal_failure_acute,1469,Renal and urinary disorders
0.220119522,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.219196732,Renal_failure_acute,Renal_failure_acute,1469,Renal and urinary disorders
0.219055375,Renal_failure,Renal_failure,1228,Renal and urinary disorders
0.217183771,Angina_pectoris,Angina_pectoris,1257,Cardiac disorders
0.213888889,Asthenia,Asthenia,1080,General disorders
0.213720317,Cardiac_failure_congestive,Cardiac_failure_congestive,1137,Cardiac disorders
0.209163347,Cardiac_failure,Cardiac_failure,1004,Cardiac disorders
0.208294931,Coronary_artery_disease,Coronary_artery_disease,1085,Cardiac disorders
0.207637232,Angina_pectoris,Angina_pectoris,1257,Cardiac disorders
0.206512425,Acute_myocardial_infarction,Acute_myocardial_infarction,1167,Cardiac disorders
0.205770691,Deep_vein_thrombosis,Deep_vein_thrombosis,1317,Vascular disorders
0.205655527,Acute_myocardial_infarction,Acute_myocardial_infarction,1167,Cardiac disorders
0.204369274,Cerebrovascular_accident,Cerebrovascular_accident,1419,Nervous system disorders
0.203664553,Cerebrovascular_accident,Cerebrovascular_accident,1419,Nervous system disorders
0.203583062,Respiratory_failure,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders"
0.202872531,Fall,Fall,1114,"Injury, poisoning and procedural complications"
0.202733485,Deep_vein_thrombosis,Deep_vein_thrombosis,1317,Vascular disorders
