Index,Confidence,Source,Frequency (arms#),S-Category,Target,T-Category
1,0.515513126,Haematoma,419,Vascular disorders,Death,
2,0.504780115,Cardio-respiratory_arrest,523,Cardiac disorders,Death,
3,0.504587156,Multi-organ_failure,545,General disorders,Death,
4,0.5,Cerebral_haemorrhage,490,Nervous system disorders,Death,
5,0.49795082,Ischaemic_stroke,488,Nervous system disorders,Death,
6,0.497185741,Pulmonary_oedema,533,"Respiratory, thoracic and mediastinal disorders",Death,
7,0.496031746,Arrhythmia,504,Cardiac disorders,Death,
8,0.492341357,Erysipelas,457,Infections and infestations,Death,
9,0.492094862,Atrial_flutter,506,Cardiac disorders,Death,
10,0.490066225,Femoral_neck_fracture,453,"Injury, poisoning and procedural complications",Death,
11,0.488721805,Lung_infection,532,Infections and infestations,Death,
12,0.488479263,Haematuria,651,Renal and urinary disorders,Death,
13,0.487551867,Hypertensive_crisis,482,Vascular disorders,Death,
14,0.482871126,Haemoptysis,613,"Respiratory, thoracic and mediastinal disorders",Death,
15,0.481967213,Epistaxis,610,"Respiratory, thoracic and mediastinal disorders",Death,
16,0.480263158,Subdural_haematoma,456,"Injury, poisoning and procedural complications",Death,
17,0.477777778,Respiratory_tract_infection,540,Infections and infestations,Death,
18,0.475378788,Cataract,528,Eye disorders,Death,
19,0.474849095,Rectal_haemorrhage,497,Gastrointestinal disorders,Death,
20,0.4743083,Hyperkalaemia,506,Metabolism and nutrition disorders,Death,
21,0.472837022,Pneumonia_aspiration,497,"Respiratory, thoracic and mediastinal disorders",Death,
22,0.466898955,General_physical_health_deterioration,574,General disorders,Death,
23,0.465779468,Acute_coronary_syndrome,526,Cardiac disorders,Death,
24,0.4625,Peritonitis,480,General disorders,Death,
25,0.462171053,Urosepsis,608,Infections and infestations,Death,
26,0.459183673,Tachycardia,490,Cardiac disorders,Death,
27,0.458385093,Septic_shock,805,Infections and infestations,Death,
28,0.454991817,Oedema_peripheral,611,General disorders,Death,
29,0.453450164,Cardiac_arrest,913,Cardiac disorders,Death,
30,0.450549451,Acute_respiratory_failure,546,"Respiratory, thoracic and mediastinal disorders",Death,
31,0.450485437,Lung_neoplasm_malignant,515,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Death,
32,0.449612403,Diabetes_mellitus,516,Metabolism and nutrition disorders,Death,
33,0.446870451,Hypokalaemia,687,Metabolism and nutrition disorders,Death,
34,0.446366782,Abdominal_pain_upper,578,Gastrointestinal disorders,Death,
35,0.445422535,Cough,568,"Respiratory, thoracic and mediastinal disorders",Death,
36,0.444444444,Lower_respiratory_tract_infection,576,Infections and infestations,Death,
37,0.443262411,Myocardial_ischaemia,564,Cardiac disorders,Death,
38,0.44295302,Hyponatraemia,745,Metabolism and nutrition disorders,Death,
39,0.441041348,Vertigo,653,Ear and labyrinth disorders,Death,
40,0.440835267,Pneumothorax,862,"Respiratory, thoracic and mediastinal disorders",Death,
41,0.439842209,Supraventricular_tachycardia,507,Cardiac disorders,Death,
42,0.439799331,Urinary_retention,598,Renal and urinary disorders,Death,
43,0.438625205,Cholecystitis_acute,611,Hepatobiliary disorders,Death,
44,0.436681223,Confusional_state,687,Psychiatric disorders,Death,
45,0.43490701,Hyperglycaemia,699,Metabolism and nutrition disorders,Death,
46,0.434482759,Colon_cancer,580,"Neoplasms benign, malignant and unspecified (incl               cysts and polyps)",Death,
47,0.432520325,Dysphagia,615,Gastrointestinal disorders,Death,
48,0.4312749,Cardiac_failure,1004,Cardiac disorders,Death,
49,0.427756654,Osteomyelitis,526,Infections and infestations,Death,
50,0.426614481,Pancreatitis_acute,511,Gastrointestinal disorders,Death,
51,0.426045016,Pain_in_extremity,622,Musculoskeletal and connective tissue disorders,Death,
52,0.424875622,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders,Death,
53,0.422321429,Dizziness,1120,Nervous system disorders,Death,
54,0.421955403,Lobar_pneumonia,583,Infections and infestations,Death,
55,0.42019544,Renal_failure,1228,Renal and urinary disorders,Death,
56,0.419218585,Infection,947,Infections and infestations Ê,Death,
,,,,,,
