Index,Confidence,Triple disease,Frequency (arms#),Target,type
1,0.805343511,[Cardiac_failure  Cerebrovascular_accident  Bronchitis],262,[Death],undirected
2,0.8,[Cardiac_failure  Deep_vein_thrombosis  Cerebrovascular_accident],270,[Death],undirected
3,0.798013245,[Cardiac_failure  Cerebrovascular_accident  Syncope],302,[Death],undirected
4,0.795620438,[Renal_failure  Cerebrovascular_accident  Gastroenteritis],274,[Death],undirected
5,0.795539033,[Cardiac_failure  Respiratory_failure  Cerebrovascular_accident],269,[Death],undirected
6,0.795539033,[Cardiac_failure  Renal_failure  Cerebrovascular_accident],269,[Death],undirected
7,0.794871795,[Cardiac_failure  Cerebrovascular_accident  Abdominal_pain],273,[Death],undirected
8,0.794223827,[Cardiac_failure  Cerebrovascular_accident  Pyrexia],277,[Death],undirected
9,0.790613718,[Cardiac_arrest  Respiratory_failure  Syncope],277,[Death],undirected
10,0.787769784,[Cardiac_failure  Cerebrovascular_accident  Dehydration],278,[Death],undirected
11,0.781481481,[Cardiac_failure  Acute_myocardial_infarction  Pulmonary_embolism],270,[Death],undirected
12,0.781021898,[Renal_failure  Back_pain  Cerebrovascular_accident],274,[Death],undirected
13,0.778911565,[Cardiac_failure  Cerebrovascular_accident  Chest_pain],294,[Death],undirected
14,0.778877888,[Cardiac_failure  Cerebrovascular_accident  Sepsis],303,[Death],undirected
15,0.778501629,[Cardiac_failure  Cerebrovascular_accident  Urinary_tract_infection],307,[Death],undirected
16,0.777408638,[Cardiac_failure  Cerebrovascular_accident  Renal_failure_acute],301,[Death],undirected
17,0.777385159,[Cardiac_failure  Bronchitis  Pulmonary_embolism],283,[Death],undirected
18,0.774907749,[Septic_shock  Cerebrovascular_accident  Dyspnoea],271,[Death],undirected
19,0.773381295,[Cardiac_failure  Respiratory_failure  Syncope],278,[Death],undirected
20,0.772893773,[Cardiac_failure  Gastrointestinal_haemorrhage  Syncope],273,[Death],undirected
21,0.772893773,[Transient_ischaemic_attack  Cardiac_failure  Myocardial_infarction],273,[Death],undirected
22,0.772563177,[Cardiac_failure  Cerebrovascular_accident  Gastroenteritis],277,[Death],undirected
23,0.771986971,[Cardiac_failure  Cerebrovascular_accident  Pulmonary_embolism],307,[Death],undirected
24,0.769784173,[Cardiac_failure  Pulmonary_embolism  Cellulitis],278,[Death],undirected
25,0.769230769,[Back_pain  Pleural_effusion  Cerebrovascular_accident],286,[Death],undirected
26,0.768115942,[Cardiac_failure  Gastrointestinal_haemorrhage  Pulmonary_embolism],276,[Death],undirected
27,0.767973856,[Cardiac_failure  Pulmonary_embolism  Syncope],306,[Death],undirected
28,0.767918089,[Cardiac_failure  Respiratory_failure  Pulmonary_embolism],293,[Death],undirected
29,0.766423358,[Cardiac_failure  Back_pain  Pulmonary_embolism],274,[Death],undirected
30,0.765124555,[Gastrointestinal_haemorrhage  Pleural_effusion  Cerebrovascular_accident],281,[Death],undirected
31,0.764900662,[Cardiac_failure  Respiratory_failure  Dyspnoea],302,[Death],undirected
32,0.764492754,[Gastrointestinal_haemorrhage  Back_pain  Cerebrovascular_accident],276,[Death],undirected
33,0.764309764,[Cardiac_failure  Syncope  Pyrexia],297,[Death],undirected
34,0.762886598,[Back_pain  Cerebrovascular_accident  Gastroenteritis],291,[Death],undirected
35,0.762589928,[Cardiac_failure  Myocardial_infarction  Dehydration],278,[Death],undirected
36,0.762411348,[Cardiac_failure  Chronic_obstructive_pulmonary_disease  Dyspnoea],282,[Death],undirected
