Table 1,degree,source,Category,Frequency,target,Table 2, degree -ranage,source,Diversity,frequency,degree,source,target,degree,source,target
1,0.515513126,[Haematoma] ,,,[Death],1,"[min, max]",,,"[min, max]",0.726973684,[Cardiac_failure  Dizziness],[Death],0.805343511,[Cardiac_failure  Cerebrovascular_accident  Bronchitis],[Death]
2,0.504780115,[Cardio-respiratory_arrest],,,[Death],2,,,,,0.716171617,[Septic_shock  Cardiac_failure],[Death],0.8,[Cardiac_failure  Deep_vein_thrombosis  Cerebrovascular_accident],[Death]
3,0.504587156,[Multi-organ_failure],,,[Death],3,,,,,0.713804714,[Haematuria  Bronchitis],[Death],0.798013245,[Cardiac_failure  Cerebrovascular_accident  Syncope],[Death]
4,0.5,[Cerebral_haemorrhage],,,[Death],4,,,,,0.704819277,[Cardiac_arrest  Back_pain],[Death],0.795620438,[Renal_failure  Cerebrovascular_accident  Gastroenteritis],[Death]
5,0.49795082,[Ischaemic_stroke],,,[Death],5,,,,,0.703947368,[Multi-organ_failure  Atrial_fibrillation],[Death],0.795539033,[Cardiac_failure  Respiratory_failure  Cerebrovascular_accident],[Death]
6,0.497185741,[Pulmonary_oedema],,,[Death],6,,,,,0.700657895,[Vertigo  Sepsis],[Death],0.795539033,[Cardiac_failure  Renal_failure  Cerebrovascular_accident],[Death]
7,0.496031746,[Arrhythmia],,,[Death],7,,,,,0.699669967,[Femur_fracture  Back_pain],[Death],0.794871795,[Cardiac_failure  Cerebrovascular_accident  Abdominal_pain],[Death]
8,0.492341357,[Erysipelas],,,[Death],8,,,,,0.699386503,[Septic_shock  Back_pain],[Death],0.794223827,[Cardiac_failure  Cerebrovascular_accident  Pyrexia],[Death]
9,0.492094862,[Atrial_flutter],,,[Death],9,,,,,0.699115044,[Cardiac_arrest  Cardiac_failure],[Death],0.790613718,[Cardiac_arrest  Respiratory_failure  Syncope],[Death]
10,0.490066225,[Femoral_neck_fracture],,,[Death],10,,,,,0.698717949,[Dizziness  Respiratory_failure],[Death],0.787769784,[Cardiac_failure  Cerebrovascular_accident  Dehydration],[Death]
11,0.488721805,[Lung_infection],,,[Death],11,,,,,0.693251534,[Transient_ischaemic_attack  Pleural_effusion],[Death],0.781481481,[Cardiac_failure  Acute_myocardial_infarction  Pulmonary_embolism],[Death]
12,0.488479263,[Haematuria],,,[Death],12,,,,,0.692810458,[Cholecystitis  Constipation],[Death],0.781021898,[Renal_failure  Back_pain  Cerebrovascular_accident],[Death]
13,0.487551867,[Hypertensive_crisis],,,[Death],13,,,,,0.692063492,[Cardiac_failure  Asthenia],[Death],0.778911565,[Cardiac_failure  Cerebrovascular_accident  Chest_pain],[Death]
14,0.482871126,[Haemoptysis],,,[Death],14,,,,,0.689855072,[Cardiac_arrest  Bronchitis],[Death],0.778877888,[Cardiac_failure  Cerebrovascular_accident  Sepsis],[Death]
15,0.481967213,[Epistaxis],,,[Death],15,,,,,0.688888889,[Bronchopneumonia  Syncope],[Death],0.778501629,[Cardiac_failure  Cerebrovascular_accident  Urinary_tract_infection],[Death]
16,0.480263158,[Subdural_haematoma],,,[Death],16,,,,,0.688829787,[Cardiac_failure  Deep_vein_thrombosis],[Death],0.777408638,[Cardiac_failure  Cerebrovascular_accident  Renal_failure_acute],[Death]
17,0.477777778,[Respiratory_tract_infection],,,[Death],17,,,,,0.686980609,[Septic_shock  Cerebrovascular_accident],[Death],0.777385159,[Cardiac_failure  Bronchitis  Pulmonary_embolism],[Death]
18,0.475378788,[Cataract],,,[Death],18,,,,,0.686930091,[Vertigo  Anaemia],[Death],0.774907749,[Septic_shock  Cerebrovascular_accident  Dyspnoea],[Death]
