Confidence,Source,Frequency (arms#),Category,Target
0.515513126,Haematoma,419,Vascular disorders,Death
0.504780115,Cardio-respiratory_arrest,523,Cardiac disorders,Death
0.504587156,Multi-organ_failure,545,General disorders,Death
0.5,Cerebral_haemorrhage,490,Nervous system disorders,Death
0.49795082,Ischaemic_stroke,488,Nervous system disorders,Death
0.497185741,Pulmonary_oedema,533,"Respiratory, thoracic and mediastinal disorders",Death
0.496031746,Arrhythmia,504,Cardiac disorders,Death
0.492341357,Erysipelas,457,Infections and infestations,Death
0.492094862,Atrial_flutter,506,Cardiac disorders,Death
0.490066225,Femoral_neck_fracture,453,"Injury, poisoning and procedural complications",Death
0.488721805,Lung_infection,532,Infections and infestations,Death
0.488479263,Haematuria,651,Renal and urinary disorders,Death
0.487551867,Hypertensive_crisis,482,Vascular disorders,Death
0.482871126,Haemoptysis,613,"Respiratory, thoracic and mediastinal disorders",Death
0.481967213,Epistaxis,610,"Respiratory, thoracic and mediastinal disorders",Death
0.480263158,Subdural_haematoma,456,"Injury, poisoning and procedural complications",Death
0.477777778,Respiratory_tract_infection,540,Infections and infestations,Death
0.475378788,Cataract,528,Eye disorders,Death
0.474849095,Rectal_haemorrhage,497,Gastrointestinal disorders,Death
0.4743083,Hyperkalaemia,506,Metabolism and nutrition disorders,Death
0.472837022,Pneumonia_aspiration,497,"Respiratory, thoracic and mediastinal disorders",Death
0.466898955,General_physical_health_deterioration,574,General disorders,Death
0.465779468,Acute_coronary_syndrome,526,Cardiac disorders,Death
0.4625,Peritonitis,480,General disorders,Death
0.462171053,Urosepsis,608,Infections and infestations,Death
0.459183673,Tachycardia,490,Cardiac disorders,Death
0.458385093,Septic_shock,805,Infections and infestations,Death
0.454991817,Oedema_peripheral,611,General disorders,Death
0.453450164,Cardiac_arrest,913,Cardiac disorders,Death
0.450549451,Acute_respiratory_failure,546,"Respiratory, thoracic and mediastinal disorders",Death
0.450485437,Lung_neoplasm_malignant,515,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Death
0.449612403,Diabetes_mellitus,516,Metabolism and nutrition disorders,Death
0.446870451,Hypokalaemia,687,Metabolism and nutrition disorders,Death
0.446366782,Abdominal_pain_upper,578,Gastrointestinal disorders,Death
0.445422535,Cough,568,"Respiratory, thoracic and mediastinal disorders",Death
